                                              Y1              Y1              Y1              Y1              Y1              Y1
                                           PRO-1           PRO-4           PRO-5          PRO-11          PRO-12          PRO-15
            TIME            DATE    Water Cut SC    Water Cut SC    Water Cut SC    Water Cut SC    Water Cut SC    Water Cut SC
           (day)                              ()              ()              ()              ()              ()              ()
       0.01 		  1967-01-01		0				0				0					0				0			0
	   1.0100000      1967-01-02    1.03217e-010    8.44951e-011    2.35352e-010    2.18805e-010    1.32545e-010    2.33810e-010
       31.000000      1967-02-01    3.15638e-009    1.27750e-009    5.05997e-007    4.45465e-009    4.44936e-009    6.37531e-007
       59.000000      1967-03-01    6.50604e-009    3.21949e-009    2.26739e-006    8.22363e-009    8.13926e-009    2.68706e-006
       90.000000      1967-04-01    9.76204e-009    5.67272e-009    5.36548e-006    1.17934e-008    1.12195e-008    6.18702e-006
       91.000000      1967-04-02    1.11951e-008    6.81028e-009    5.50829e-006    1.40708e-008    1.29130e-008    6.44305e-006
       120.00000      1967-05-01    2.59609e-008    1.49874e-008    1.09079e-005    3.19291e-008    2.79745e-008    1.80720e-005
       151.00000      1967-06-01    4.16060e-008    2.55842e-008    2.18780e-005    4.91370e-008    4.05182e-008    4.39001e-005
       181.00000      1967-07-01    5.45071e-008    3.51954e-008    3.46233e-005    6.33061e-008    4.99904e-008    7.65641e-005
       182.00000      1967-07-02    5.20417e-008    3.33413e-008    3.50484e-005    5.91873e-008    4.71208e-008    7.72834e-005
       212.00000      1967-08-01    4.33413e-008    3.30042e-008    4.51865e-005    4.73890e-008    3.66154e-008    9.18929e-005
       243.00000      1967-09-01    4.38783e-008    3.59605e-008    6.01950e-005    4.79254e-008    3.69092e-008     0.000114663
       273.00000      1967-10-01    4.62418e-008    3.86463e-008    7.46862e-005    5.04871e-008    3.91952e-008     0.000137099
       274.00000      1967-10-02    4.49689e-008    3.76662e-008    7.50164e-005    4.84637e-008    3.78140e-008     0.000137491
       304.00000      1967-11-01    3.83212e-008    3.36795e-008    8.14669e-005    4.01605e-008    3.04113e-008     0.000145672
       334.00000      1967-12-01    3.58236e-008    3.25331e-008    8.97557e-005    3.75737e-008    2.81429e-008     0.000157277
       365.00000      1968-01-01    3.48836e-008    3.19449e-008    9.75111e-005    3.67264e-008    2.75353e-008     0.000168427
       366.00000      1968-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       731.00000      1969-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1096.0000      1970-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1461.0000      1971-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1462.0000      1971-01-02    2.48974e-009    2.59451e-009    8.47533e-005    3.19676e-009    2.46956e-009     0.000140954
       1642.0000      1971-07-01    4.37515e-008    2.95526e-008     0.000181776    5.37760e-008    4.04821e-008     0.000329756
       1826.0000      1972-01-01    1.08236e-007    8.50054e-008     0.000521483    1.43566e-007    9.82563e-008     0.000806474
       1827.0000      1972-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1840.0000      1972-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1841.0000      1972-01-16    9.74815e-008    8.92455e-008     0.000894993    1.38255e-007    8.50266e-008     0.000997590
       2008.0000      1972-07-01    1.74272e-007    1.52774e-007      0.00212570    3.66446e-007    2.13679e-007      0.00299366
       2192.0000      1973-01-01    2.58953e-007    2.36395e-007      0.00370881    9.05650e-007    7.10726e-007      0.00851081
       2193.0000      1973-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2206.0000      1973-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2207.0000      1973-01-16    2.07722e-007    2.03624e-007      0.00362875    7.87253e-007    6.24843e-007      0.00820103
       2373.0000      1973-07-01    3.15264e-007    2.89478e-007      0.00460208    1.53853e-006    1.81824e-006       0.0174036
       2557.0000      1974-01-01    4.55424e-007    3.93333e-007      0.00600896    3.43020e-006    7.54318e-006       0.0865258
       2558.0000      1974-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2571.0000      1974-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2572.0000      1974-01-16    3.90534e-007    3.44291e-007      0.00587393    3.17682e-006    7.33966e-006       0.0821398
       2738.0000      1974-07-01    6.04589e-007    4.63679e-007      0.00694822    5.72913e-006    1.91191e-005        0.173374
       2922.0000      1975-01-01    1.06530e-006    8.69429e-007       0.0117727    9.55692e-005    6.13556e-005        0.279220
       2923.0000      1975-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2936.0000      1975-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2937.0000      1975-01-16    9.74783e-007    7.84993e-007       0.0113016    9.19750e-005    6.09170e-005        0.267979
       3103.0000      1975-07-01    1.57273e-006    1.82316e-006       0.0186175      0.00165026     0.000120260        0.308206
       3287.0000      1976-01-01    3.21308e-006    1.12182e-005       0.0311195       0.0175704     0.000274502        0.325451
       3288.0000      1976-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3301.0000      1976-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3302.0000      1976-01-16    3.07728e-006    1.14489e-005       0.0305101       0.0168035     0.000272568        0.315105
       3469.0000      1976-07-01    5.47047e-006    4.51444e-005       0.0394735       0.0600116     0.000450731        0.319822
       3653.0000      1977-01-01    9.91144e-006     0.000171889       0.0556915        0.150472      0.00112889        0.315442
       3654.0000      1977-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3667.0000      1977-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3668.0000      1977-01-16    1.12779e-005     0.000241517       0.0609868        0.174600      0.00164161        0.304323
       3834.0000      1977-07-01    1.69024e-005     0.000576867       0.0764582        0.245378      0.00379249        0.305957
       4018.0000      1978-01-01    3.08689e-005      0.00549944        0.100172        0.329022      0.00875910        0.305673
       4019.0000      1978-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4032.0000      1978-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4033.0000      1978-01-16    3.48699e-005      0.00967507        0.103830        0.341321       0.0101847        0.295930
       4199.0000      1978-07-01    5.43524e-005       0.0257174        0.119188        0.396847       0.0226109        0.290788
       4383.0000      1979-01-01    9.48996e-005        0.121617        0.138467        0.449928       0.0611911        0.279754
       4384.0000      1979-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4397.0000      1979-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4398.0000      1979-01-16    9.28951e-005        0.125937        0.136578        0.443543       0.0615879        0.275226
       4564.0000      1979-07-01     0.000134271        0.223342        0.155599        0.478323        0.108862        0.273223
       4748.0000      1980-01-01     0.000194969        0.334289        0.175854        0.509662        0.177492        0.279703
       4749.0000      1980-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4762.0000      1980-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4763.0000      1980-01-16     0.000210012        0.368426        0.177785        0.504887        0.196951        0.281330
       4930.0000      1980-07-01     0.000288790        0.421150        0.190319        0.529685        0.245024        0.324561
       5114.0000      1981-01-01     0.000387467        0.463851        0.200768        0.551654        0.304355        0.353022
       5115.0000      1981-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5128.0000      1981-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5129.0000      1981-01-16     0.000422719        0.490595        0.201122        0.547916        0.329486        0.348491
       5295.0000      1981-07-01     0.000530185        0.507110        0.207609        0.565988        0.353035        0.362407
       5479.0000      1982-01-01     0.000806431        0.536168        0.215727        0.589165        0.388187        0.375328
       5480.0000      1982-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5493.0000      1982-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5494.0000      1982-01-16     0.000786074        0.561153        0.212399        0.579942        0.392885        0.363141
       5660.0000      1982-07-01      0.00101500        0.558952        0.217555        0.600166        0.404932        0.375868
       5844.0000      1983-01-01      0.00164037        0.570436        0.222648        0.620288        0.422883        0.385460
       5845.0000      1983-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5858.0000      1983-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       5859.0000      1983-01-16      0.00168569        0.597906        0.219235        0.612623        0.428095        0.373603
       6025.0000      1983-07-01      0.00399776        0.588103        0.223707        0.632107        0.435646        0.384687

                                              Y1              Y1              Y1              Y1              Y1              Y1
                                           PRO-1           PRO-4           PRO-5          PRO-11          PRO-12          PRO-15
            TIME            DATE            Well            Well            Well            Well            Well            Well
                                     Bottom-hole     Bottom-hole     Bottom-hole     Bottom-hole     Bottom-hole     Bottom-hole
                                        Pressure        Pressure        Pressure        Pressure        Pressure        Pressure
           (day)                           (kPa)           (kPa)           (kPa)           (kPa)           (kPa)           (kPa)
    0.0099999998      1967-01-01		22590	22507.8	5951.38	22045.3	21574.1	21279.3	         
       1.0100000      1967-01-02        22557.6	22478.7	5912.24	21997.9	21537.1	21247.8	 
       31.000000      1967-02-01        22388.8	22383.1	5624.38	21806	21340.2	21089.9	 
       59.000000      1967-03-01        22317.9	22318.6	5411.23	21734.4	21269.9	20998.7	 
       90.000000      1967-04-01        22255.7	22254	5203.87	21670	21211	20904.8	 
       91.000000      1967-04-02        21269.4	21187.6	101.325	20059.1	19080.2	18421.2	 
       120.00000      1967-05-01        21044.4	21020.9	101.325	19794.9	18826.7	18114.9	 
       151.00000      1967-06-01        20912.9	20900.7	101.325	19651.3	18707.4	17857.4	 
       181.00000      1967-07-01        20807.2	20799.4	101.325	19534.3	18613.1	17619.1	 
       182.00000      1967-07-02        21820.2	21887	4209.48	21195.2	20801	20308	 
       212.00000      1967-08-01        21891.6	21887.8	4129.49	21290.7	20902.1	20308.8	 
       243.00000      1967-09-01        21882.1	21863.1	3990.62	21280.9	20891.8	20262	 
       273.00000      1967-10-01        21863.6	21839.7	3847.63	21261.6	20870.3	20213.4	 
       274.00000      1967-10-02        22368.5	22384.5	13450.7	22087	21957.4	21593.6	 
       304.00000      1967-11-01        22426.4	22421.3	13532.2	22159	22032.5	21627.6	 
       334.00000      1967-12-01        22441.5	22428.7	13535.6	22174.9	22047.7	21635.7	 
       365.00000      1968-01-01        22449.6	22434	13526	22183	22053.9	21640.5	 
       366.00000      1968-01-02        22951.4	22983.2	23118.6	23001.9	23132.1	23029.1	 
       731.00000      1969-01-01        23258.1	23253.8	23392.9	23318.3	23408.3	23350.8	 
       1096.0000      1970-01-01        23354.7	23358.1	23476.6	23413	23491	23467.8	 
       1461.0000      1971-01-01        23406.4	23411.7	23522.9	23464.2	23537.3	23525.4	 
       1462.0000      1971-01-02        21949.4	21821.1	101.325	21085.3	20377.2	19527.3	 
       1642.0000      1971-07-01        21233.1	21241.1	101.325	20271.5	19640.4	18401.7	 
       1826.0000      1972-01-01        20875.8	20845.2	101.325	19878.5	19307.5	17512.2	 
       1827.0000      1972-01-02        22449.4	22567.2	22738.2	22460.8	22681.8	22575.2	 
       1840.0000      1972-01-15        22584.3	22630.6	22848.5	22634.3	22848.5	22665	 
       1841.0000      1972-01-16        21038.2	20935	101.325	20096.5	19529.5	17641.4	 
       2008.0000      1972-07-01        20660.4	20513.5	101.325	19640.8	19104.8	16842.4	 
       2192.0000      1973-01-01        20449.1	20155.9	101.325	19391.8	18894.7	16160.6	 
       2193.0000      1973-01-02        22081.4	22192.6	22446.6	22079.7	22375.7	22179.9	 
       2206.0000      1973-01-15        22218.2	22271.9	22555.4	22272.1	22547.2	22281.8	 
       2207.0000      1973-01-16        20622.6	20267.8	101.325	19638.3	19125.4	16331.6	 
       2373.0000      1973-07-01        20309.4	19895.8	101.325	19222.6	18746.5	15126.2	 
       2557.0000      1974-01-01        20142.6	19612.4	101.325	19018.9	18568.5	12613	 
       2558.0000      1974-01-02        21810.8	21908.9	22243.1	21810.6	22163.4	21895.5	 
       2571.0000      1974-01-15        21951.4	22003.5	22351	22013.2	22338.2	22004.9	 
       2572.0000      1974-01-16        20307.3	19745.4	101.325	19287.8	18805.6	12893	 
       2738.0000      1974-07-01        20029.8	19425.7	101.325	18870	18431.7	9782.71	 
       2922.0000      1975-01-01        19849	19177.3	101.325	18534.2	18213.6	7617.27	 
       2923.0000      1975-01-02        21556.2	21634.3	22072.2	21553	21987.7	21604.5	 
       2936.0000      1975-01-15        21692.5	21754.8	22176.7	21762.1	22164.2	21729.9	 
       2937.0000      1975-01-16        20014.8	19344.2	101.325	18810.4	18455.4	8031.93	 
       3103.0000      1975-07-01        19732.6	19028.4	101.325	18202.2	18034.5	6822.67	 
       3287.0000      1976-01-01        19568.4	18821.2	101.325	17709	17784.8	6331.85	 
       3288.0000      1976-01-02        21332.3	21397.3	21920.4	21332.3	21831.6	21362.2	 
