
"FILE:","PUNQS3_MELHOR.irf"
"Well:","PRO-4"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22505.72
1.01,"1967-01-02",74,7.78637E-011,22477.81
31,"1967-02-01",73.97,1.37298E-009,22375.92
59,"1967-03-01",73.75,3.57316E-009,22305.92
90,"1967-04-01",73.55,6.33461E-009,22237.06
91,"1967-04-02",73.48,7.44139E-009,21169.44
120,"1967-05-01",73.12,1.49696E-008,20990.56
151,"1967-06-01",72.71,2.63791E-008,20856.51
181,"1967-07-01",72.32,4.09179E-008,20741.65
182,"1967-07-02",72.36,3.92791E-008,21832.31
212,"1967-08-01",72.35,3.94114E-008,21828.52
243,"1967-09-01",72.27,4.28814E-008,21802.35
273,"1967-10-01",72.2,4.59148E-008,21778.19
274,"1967-10-02",72.22,4.49526E-008,22325.71
304,"1967-11-01",72.33,4.02803E-008,22365.2
334,"1967-12-01",72.37,3.87053E-008,22374.81
365,"1968-01-01",72.39,3.7808E-008,22382.19
366,"1968-01-02",0,0,22935.1
731,"1969-01-01",0,0,23233.05
1096,"1970-01-01",0,0,23351.8
1461,"1971-01-01",0,0,23407.38
1462,"1971-01-02",73.84,2.65349E-009,21815.93
1642,"1971-07-01",72.64,3.13766E-008,21177.58
1826,"1972-01-01",71.22,1.00126E-007,20754.43
1827,"1972-01-02",0,0,22460.18
1840,"1972-01-15",0,0,22542.75
1841,"1972-01-16",71.12,1.06453E-007,20848.57
2008,"1972-07-01",70.3,1.80897E-007,20411.56
2192,"1973-01-01",69.91,2.81681E-007,20035.97
2193,"1973-01-02",0,0,22046.62
2206,"1973-01-15",0,0,22146.63
2207,"1973-01-16",70.2,2.43088E-007,20156.31
2373,"1973-07-01",71.46,3.45416E-007,19761.81
2557,"1974-01-01",76.08,4.60679E-007,19469.35
2558,"1974-01-02",0,0,21755.37
2571,"1974-01-15",0,0,21868.01
2572,"1974-01-16",75.47,4.01859E-007,19614.04
2738,"1974-07-01",88.39,5.34679E-007,19279.26
2922,"1975-01-01",105.21,8.82455E-007,19029.22
2923,"1975-01-02",0,0,21482.65
2936,"1975-01-15",0,0,21611.54
2937,"1975-01-16",100.28,7.8693E-007,19208.54
3103,"1975-07-01",108.56,1.64745E-006,18874.87
3287,"1976-01-01",112.96,4.66713E-006,18653.58
3288,"1976-01-02",0,0,21230.32
3301,"1976-01-15",0,0,21374.37
3302,"1976-01-16",107.31,6.3856E-006,18857.76
3469,"1976-07-01",108.27,2.95104E-005,18503.21
3653,"1977-01-01",106.7,0.00012028,18211.49
3654,"1977-01-02",0,0,21021.96
3667,"1977-01-15",0,0,21177.08
3668,"1977-01-16",99.04,0.000176774,18426.99
3834,"1977-07-01",96.77,0.00049187,17890.96
4018,"1978-01-01",87.52,0.00989236,17196.24
4019,"1978-01-02",0,0,20878.63
4032,"1978-01-15",0,0,21044.17
4033,"1978-01-16",79.76,0.0106545,17416.21
4199,"1978-07-01",79.06,0.0336247,16273.6
4383,"1979-01-01",79.43,0.122803,14828.83
4384,"1979-01-02",0,0,20689.74
4397,"1979-01-15",0,0,20877.17
4398,"1979-01-16",77.84,0.156524,15110.48
4564,"1979-07-01",79.13,0.261368,13480.06
4748,"1980-01-01",82.48,0.393665,12045.28
4749,"1980-01-02",0,0,20325.69
4762,"1980-01-15",0,0,20572.03
4763,"1980-01-16",80.21,0.428295,12487.75
4930,"1980-07-01",85.43,0.469491,11071.5
5114,"1981-01-01",93.43,0.509727,10023.93
5115,"1981-01-02",0,0,20046.73
5128,"1981-01-15",0,0,20319.65
5129,"1981-01-16",88.03,0.521221,10588.54
5295,"1981-07-01",97.41,0.534875,9389.54
5479,"1982-01-01",110.82,0.550203,8703.97
5480,"1982-01-02",0,0,19796.42
5493,"1982-01-15",0,0,20095.79
5494,"1982-01-16",91.87,0.586617,9441.86
5660,"1982-07-01",104.42,0.577072,8458.03
5844,"1983-01-01",111.23,0.59132,8006.8
5845,"1983-01-02",0,0,19585.83
5858,"1983-01-15",0,0,19914.75
5859,"1983-01-16",91.6,0.621302,8814.23
6025,"1983-07-01",101.55,0.611274,7778.66

"FILE:","PUNQS3_MELHOR.irf"
"Well:","PRO-5"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22073.7
1.01,"1967-01-02",74,2.29814E-010,22037.88
31,"1967-02-01",73.95,5.30829E-007,21840.11
59,"1967-03-01",73.75,2.42005E-006,21757.85
90,"1967-04-01",73.57,5.82919E-006,21688.61
91,"1967-04-02",73.49,6.03167E-006,20055.41
120,"1967-05-01",72.97,1.30525E-005,19757.5
151,"1967-06-01",72.54,3.09699E-005,19583.33
181,"1967-07-01",72.19,6.28538E-005,19442.02
182,"1967-07-02",72.25,6.35554E-005,21172.9
212,"1967-08-01",72.51,7.81903E-005,21262.17
