
"FILE:","PUNQS3_PIOR.irf"
"Well:","PRO-4"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22512.17
1.01,"1967-01-02",74,7.75497E-011,22484.32
31,"1967-02-01",73.97,1.3689E-009,22382.49
59,"1967-03-01",73.75,3.60487E-009,22311.49
90,"1967-04-01",73.54,6.42695E-009,22241.59
91,"1967-04-02",73.47,7.55274E-009,21180.12
120,"1967-05-01",73.12,1.51126E-008,21001.51
151,"1967-06-01",72.71,2.66651E-008,20866.23
181,"1967-07-01",72.3,4.15013E-008,20749.94
182,"1967-07-02",72.34,3.98682E-008,21834.08
212,"1967-08-01",72.33,4.02651E-008,21827.89
243,"1967-09-01",72.25,4.38172E-008,21801.58
273,"1967-10-01",72.18,4.68905E-008,21777.38
274,"1967-10-02",72.19,4.592E-008,22321.83
304,"1967-11-01",72.31,4.12491E-008,22360.85
334,"1967-12-01",72.35,3.96145E-008,22370.78
365,"1968-01-01",72.37,3.86621E-008,22378.52
366,"1968-01-02",0,0,22928.47
731,"1969-01-01",0,0,23232.33
1096,"1970-01-01",0,0,23351.92
1461,"1971-01-01",0,0,23407.77
1462,"1971-01-02",73.84,2.64496E-009,21825.99
1642,"1971-07-01",72.63,3.16892E-008,21182.85
1826,"1972-01-01",71.2,1.02125E-007,20741.7
1827,"1972-01-02",0,0,22453.24
1840,"1972-01-15",0,0,22535.11
1841,"1972-01-16",71.09,1.09163E-007,20834.65
2008,"1972-07-01",70.28,1.86351E-007,20380.84
2192,"1973-01-01",70.04,2.70541E-007,19981.28
2193,"1973-01-02",0,0,22028.25
2206,"1973-01-15",0,0,22130.76
2207,"1973-01-16",70.31,2.54648E-007,20105.97
2373,"1973-07-01",72.92,3.61862E-007,19708.77
2557,"1974-01-01",82.6,4.8418E-007,19418.23
2558,"1974-01-02",0,0,21719.8
2571,"1974-01-15",0,0,21835.44
2572,"1974-01-16",78.59,4.20461E-007,19567.39
2738,"1974-07-01",90.54,5.50735E-007,19239.36
2922,"1975-01-01",99,6.64307E-007,19014.85
2923,"1975-01-02",0,0,21443.49
2936,"1975-01-15",0,0,21577.45
2937,"1975-01-16",95.41,6.00417E-007,19197.98
3103,"1975-07-01",98.43,8.53118E-007,18900.61
3287,"1976-01-01",96.2,1.877E-006,18744.25
3288,"1976-01-02",0,0,21226.4
3301,"1976-01-15",0,0,21371.91
3302,"1976-01-16",90.52,1.74592E-006,18945.34
3469,"1976-07-01",90.35,3.20643E-006,18666.08
3653,"1977-01-01",87.67,1.38672E-005,18494.88
3654,"1977-01-02",0,0,21051.15
3667,"1977-01-15",0,0,21204.19
3668,"1977-01-16",81.48,1.97951E-005,18703.12
3834,"1977-07-01",82,6.95784E-005,18357.35
4018,"1978-01-01",80.65,0.000279797,18022.68
4019,"1978-01-02",0,0,20901.34
4032,"1978-01-15",0,0,21064.17
4033,"1978-01-16",75.23,0.000400288,18238.3
4199,"1978-07-01",75.69,0.00152983,17571.29
4383,"1979-01-01",75.96,0.0148765,16716.88
4384,"1979-01-02",0,0,20754.89
4397,"1979-01-15",0,0,20918.8
4398,"1979-01-16",75.04,0.0212027,16946.9
4564,"1979-07-01",75.07,0.0670907,15613.64
4748,"1980-01-01",76.5,0.236709,14036.64
4749,"1980-01-02",0,0,20509.04
4762,"1980-01-15",0,0,20718.92
4763,"1980-01-16",74.51,0.251732,14389.45
4930,"1980-07-01",77.71,0.363332,12740.67
5114,"1981-01-01",83.87,0.456597,11401.48
5115,"1981-01-02",0,0,20171.63
5128,"1981-01-15",0,0,20432.66
5129,"1981-01-16",80.03,0.467753,11903.73
5295,"1981-07-01",85.89,0.50202,10455.35
5479,"1982-01-01",91.06,0.528207,9427.87
5480,"1982-01-02",0,0,19875.79
5493,"1982-01-15",0,0,20168.76
5494,"1982-01-16",86.88,0.561594,10149.82
5660,"1982-07-01",92.72,0.557674,9040.89
5844,"1983-01-01",96.64,0.570281,8543.45
5845,"1983-01-02",0,0,19656.74
5858,"1983-01-15",0,0,19974.97
5859,"1983-01-16",88.59,0.598377,9389.65
6025,"1983-07-01",93.27,0.589164,8415.64

"FILE:","PUNQS3_PIOR.irf"
"Well:","PRO-5"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22072.57
1.01,"1967-01-02",74,2.07533E-010,22037.52
31,"1967-02-01",73.95,4.44957E-007,21839.27
59,"1967-03-01",73.74,2.01334E-006,21756.79
90,"1967-04-01",73.57,4.82358E-006,21688
91,"1967-04-02",73.49,4.99111E-006,20056.12
120,"1967-05-01",72.96,1.07884E-005,19759.74
151,"1967-06-01",72.53,2.55557E-005,19586.93
181,"1967-07-01",72.18,5.16077E-005,19447.73
182,"1967-07-02",72.24,5.21776E-005,21173.01
212,"1967-08-01",72.49,6.40831E-005,21263.57
243,"1967-09-01",72.52,8.10645E-005,21257.57
273,"1967-10-01",72.49,9.71733E-005,21238.22
274,"1967-10-02",72.52,9.75251E-005,22107.11
304,"1967-11-01",72.72,0.000104345,22177.55
334,"1967-12-01",72.8,0.000113169,22197.04
365,"1968-01-01",72.84,0.000121486,22207
366,"1968-01-02",0,0,23073.98
731,"1969-01-01",0,0,23379.73
1096,"1970-01-01",0,0,23472.54
1461,"1971-01-01",0,0,23521.42
1462,"1971-01-02",74.1,0.000110308,20990.63
1642,"1971-07-01",72.63,0.000233486,20106.75
1826,"1972-01-01",71.42,0.00134937,19634.91
1827,"1972-01-02",0,0,22565.54
1840,"1972-01-15",0,0,22716.55
1841,"1972-01-16",71.63,0.00216082,19828.67
2008,"1972-07-01",70.68,0.00404462,19328.36
2192,"1973-01-01",70.11,0.00628267,18986.61
2193,"1973-01-02",0,0,22208.78
2206,"1973-01-15",0,0,22369.02
2207,"1973-01-16",70.51,0.00679394,19199.18
2373,"1973-07-01",69.69,0.0110089,18760.61
2557,"1974-01-01",69.17,0.022309,18490.93
2558,"1974-01-02",0,0,21963.28
2571,"1974-01-15",0,0,22129.13
2572,"1974-01-16",69.72,0.0215135,18718.55
2738,"1974-07-01",68.96,0.0325854,18264.75
2922,"1975-01-01",68.56,0.0567352,17916.96
2923,"1975-01-02",0,0,21747.45
2936,"1975-01-15",0,0,21921.39
2937,"1975-01-16",69.04,0.0668088,18161.09
3103,"1975-07-01",68.23,0.10694,17638.78
3287,"1976-01-01",67.72,0.172378,17310.63
3288,"1976-01-02",0,0,21525.66
3301,"1976-01-15",0,0,21719.76
3302,"1976-01-16",68.36,0.168723,17589.41
3469,"1976-07-01",67.58,0.213176,17091.34
3653,"1977-01-01",67.13,0.265564,16843.15
3654,"1977-01-02",0,0,21320.78
3667,"1977-01-15",0,0,21541.39
3668,"1977-01-16",67.77,0.27035,17166.56
3834,"1977-07-01",66.93,0.296313,16713.34
4018,"1978-01-01",66.59,0.320287,16525.45
4019,"1978-01-02",0,0,21161.65
4032,"1978-01-15",0,0,21398.85
4033,"1978-01-16",67.31,0.320643,16877.18
4199,"1978-07-01",66.42,0.338612,16429.18
4383,"1979-01-01",66.04,0.350902,16238.63
4384,"1979-01-02",0,0,20988.57
4397,"1979-01-15",0,0,21236.31
4398,"1979-01-16",66.79,0.347072,16610.23
4564,"1979-07-01",65.88,0.359131,16114.67
4748,"1980-01-01",65.29,0.373103,15900.29
4749,"1980-01-02",0,0,20782.29
4762,"1980-01-15",0,0,21039.77
4763,"1980-01-16",66.13,0.366776,16292.97
4930,"1980-07-01",65.1,0.380157,15744.77
5114,"1981-01-01",64.51,0.393203,15491.83
5115,"1981-01-02",0,0,20537.81
5128,"1981-01-15",0,0,20806.63
5129,"1981-01-16",65.41,0.387403,15906.49
5295,"1981-07-01",64.31,0.401646,15327.98
5479,"1982-01-01",63.85,0.412475,15058.84
5480,"1982-01-02",0,0,20287.16
5493,"1982-01-15",0,0,20572.96
5494,"1982-01-16",64.67,0.41144,15510.89
5660,"1982-07-01",63.57,0.424316,14922.68
5844,"1983-01-01",63.03,0.437377,14671.22
5845,"1983-01-02",0,0,20079.81
5858,"1983-01-15",0,0,20376.15
5859,"1983-01-16",64.03,0.432221,15143.79
6025,"1983-07-01",62.93,0.445347,14526.67

"FILE:","PUNQS3_PIOR.irf"
"Well:","PRO-11"

"Y1","Y2","Y3"
"TIME","DATE","Gas","Oil","Ratio","Water","Cut","SC","Well"
"SC","Bottom-hole"
"(day)","(m3/m3)","()","(kPa)"
0.0099999998,"1967-01-01",0,0,22044.47
1.01,"1967-01-02",74,2.12726E-010,21997.68
31,"1967-02-01",73.76,4.93917E-009,21791.06
59,"1967-03-01",73.49,9.30699E-009,21712.66
90,"1967-04-01",73.29,1.34343E-008,21642.94
91,"1967-04-02",73.19,1.58125E-008,20028.88
120,"1967-05-01",72.62,3.38961E-008,19735.69
151,"1967-06-01",72.15,5.33569E-008,19577.04
181,"1967-07-01",71.74,7.42701E-008,19452.28
182,"1967-07-02",71.82,6.99877E-008,21121.46
212,"1967-08-01",72.08,5.66172E-008,21220.74
243,"1967-09-01",72.07,5.72736E-008,21210.51
273,"1967-10-01",72.02,6.0334E-008,21190.08
274,"1967-10-02",72.06,5.8196E-008,22019.69
304,"1967-11-01",72.27,4.84039E-008,22097.5
334,"1967-12-01",72.35,4.51396E-008,22116.31
365,"1968-01-01",72.38,4.4E-008,22126.72
366,"1968-01-02",0,0,22949.27
731,"1969-01-01",0,0,23301.33
1096,"1970-01-01",0,0,23407.04
1461,"1971-01-01",0,0,23461.79
1462,"1971-01-02",73.91,3.43503E-009,21081.21
1642,"1971-07-01",72.17,6.39944E-008,20185.19
1826,"1972-01-01",70.75,2.21176E-007,19755.22
1827,"1972-01-02",0,0,22359.88
1840,"1972-01-15",0,0,22544.06
