TABLE NUMBER 1
                                                 FILE: c:\temp_flavio001\PUNQS3.irf
TIME	Well Bottom-hole Pressure	Well Bottom-hole Pressure	Well Bottom-hole Pressure	Well Bottom-hole Pressure	Well Bottom-hole Pressure	Well Bottom-hole Pressure	
 	WELL	WELL	WELL	WELL	WELL	WELL	
 	PRO-1	PRO-4	PRO-5	PRO-11	PRO-12	PRO-15	
day	kPa	kPa	kPa	kPa	kPa	kPa	
0.01	22589.3	22507.9	5967.39	22052.6	21575.1	21279.4	
1.01	22555.7	22480.1	5929.41	22005.1	21538.7	21246	
31	22378.1	22378.9	5635.38	21803.8	21328.4	21071	
59	22301.9	22308.4	5415.43	21726.7	21250.7	20966.7	
90	22235	22239.2	5207.61	21657.5	21187.2	20862.6	
91	21245.4	21173.8	101.325	20051.7	19053.9	18360.8	
120	20999.1	20996.3	101.325	19765.7	18774.2	18008	
151	20858.8	20865.1	101.325	19610.9	18647.3	17711.8	
181	20748.8	20754.4	101.325	19489.3	18549.5	17441	
182	21767.1	21842.2	4196.63	21148.4	20744.6	20186	
212	21841.3	21840.5	4121.12	21246.3	20850.8	20189.2	
243	21832.7	21816	3989.91	21237.8	20842.5	20137.4	
273	21814.6	21792.9	3853.84	21219.1	20821.5	20083.1	
274	22322	22338.7	13435.2	22043.5	21911.7	21500.1	
304	22384.1	22379.8	13523.3	22120.3	21992.1	21540.3	
334	22401.9	22389.9	13532.9	22139.3	22010.7	21551	
365	22412.3	22397.4	13528.6	22149.9	22019.3	21557.5	
366	22916.3	22948.6	23088.7	22967.3	23099.7	22986.3	
731	23253.8	23245.3	23387.9	23312.7	23403.9	23343.6	
1096	23357.1	23360	23478.3	23414.8	23492.9	23470.1	
1461	23409.6	23413.3	23525.4	23467	23539.9	23529.1	
1462	21950.4	21825.9	101.325	21097.8	20379.7	19443.2	
1642	21174.2	21191.7	101.325	20219.4	19583.6	18150.3	
1826	20794	20783	101.325	19804.8	19233.9	17131	
1827	22381.2	22482.3	22682.5	22389	22617.8	22487.2	
1840	22519.2	22566	22794.3	22570.5	22790	22592	
1841	20963.2	20878.4	101.325	20032.2	19463.7	17285.5	
2008	20571.8	20458.6	101.325	19554.4	19027.4	16452.5	
2192	20338.4	20088.7	101.325	19279.8	18803.6	15552.5	
2193	21974.8	22086.4	22376.8	21979.7	22295.2	22065.1	
2206	22128.3	22190	22487.8	22173.8	22473.8	22182.7	
2207	20520.2	20213.5	101.325	19531.8	19044.9	15766.4	
2373	20200.4	19834.9	101.325	19106.2	18666.9	13444.1	
2557	20029.4	19559.8	101.325	18885	18497.9	10701.3	
2558	21707.4	21815	22182.1	21701.5	22089.5	21772.1	
2571	21853.2	21932.6	22290.8	21907.8	22270.3	21899.7	
2572	20199.9	19709.2	101.325	19153.2	18743.5	11033	
2738	19922.6	19394.8	101.325	18730.8	18380.7	8472.34	
2922	19753.8	19183.6	101.325	18485	18193.8	7437.66	
2923	21473.5	21574.1	22023.7	21466.8	21924.8	21515.3	
2936	21614.5	21705.1	22130.1	21673.8	22108.6	21650.7	
2937	19928.7	19360.3	101.325	18759.7	18446.3	7817.82	
3103	19655.8	19075.7	101.325	18258.7	18040.3	7142.2	
3287	19432.7	18930.9	101.325	17802.4	17810.5	6843.45	
3288	21270.5	21381.8	21887.1	21283	21782.3	21306.3	
3301	21426.9	21525.9	21992.6	21492.7	21971.1	21450	
3302	19626.9	19128.4	101.325	18090.6	18074.2	7226.33	
3469	19255.5	18868.2	101.325	17384.7	17617.3	6830.61	
3653	18992	18721	101.325	16767.9	17306.3	6652.95	
3654	21127	21241.6	21787.3	21137	21678.4	21159.2	
3667	21282.9	21391.7	21892.1	21345.1	21871.6	21289.8	
3668	19200.2	18924.8	101.325	17091.4	17580	6968.16	
3834	18800.1	18606.2	101.325	16232.1	17029.9	6555.79	
4018	18518.4	18289.5	101.325	14798.4	16533.4	6489.29	
4019	20977.9	21119.5	21704.6	20924.7	21599.9	21004.5	
4032	21128.4	21278.9	21809.9	21176.1	21795.2	21145.5	
4033	18735	18498.8	101.325	15274.3	16813.3	6815.63	
4199	18319.4	17915.1	101.325	12701.1	16027.9	6535.56	
4383	17966.5	17218.6	101.325	8870.33	15316.8	6414.73	
4384	20764.2	20979.2	21597.4	20611.4	21488.8	20829	
4397	20916.7	21146.3	21702.8	20917.8	21690.7	20945.7	
4398	18214.9	17450.1	101.325	9997.71	15614.3	6647.75	
4564	17757.5	16304.6	101.325	5687.91	14725.8	6236.42	
4748	17410	14859.1	101.325	2319.91	14021.5	-3000.55	
4749	20452	20748	21431.7	20214.7	21295.4	20524.7	
4762	20618.2	20944	21539.5	20586.8	21518.7	20663.1	
4763	17679.2	15150.9	101.325	4693.99	14366.5	101.325	
4930	17223	13699.8	101.325	613.099	13483.1	101.325	
5114	16945.2	12557.2	101.325	101.325	12997.7	101.325	
5115	20183.4	20456.7	21237.5	19961.7	21066.7	20384.6	
5128	20359.3	20697.4	21350.2	20351.3	21315.1	20474	
5129	17238.1	13005.6	101.325	1892.94	13402.5	101.325	
5295	16785.2	11806.3	101.325	101.325	12664.1	101.325	
5479	16417.1	10882.4	101.325	101.325	12278.1	101.325	
5480	19981.3	20233.9	21074.9	19793.6	20884.4	20187.6	
5493	20161.8	20507.3	21190.6	20172.2	21147.7	20273.4	
5494	16727.9	11416	101.325	101.325	12716	101.325	
5660	16145.5	10311.5	101.325	101.325	11995.6	101.325	
5844	15604.5	9669.89	101.325	101.325	11633.4	101.325	
5845	19823.3	20032.1	20939.6	19649.9	20734.7	20017.8	
5858	20003.7	20336.8	21057.5	20021.4	21008.6	20104.4	
5859	15956.4	10430.5	101.325	101.325	12095.6	101.325	
6025	15097.1	9450.19	101.325	101.325	11355.1	101.325	
