TABLE NUMBER 1
                                                 FILE: c:\temp_flavio001\PUNQS3.irf
TIME	Gas Oil Ratio SC	Gas Oil Ratio SC	Gas Oil Ratio SC	Gas Oil Ratio SC	Gas Oil Ratio SC	Gas Oil Ratio SC	
 	WELL	WELL	WELL	WELL	WELL	WELL	
 	PRO-1	PRO-4	PRO-5	PRO-11	PRO-12	PRO-15	
day	m3/m3	m3/m3	m3/m3	m3/m3	m3/m3	m3/m3	
0.01	0	0	0	0	0	0	
1.01	74	74	74	74	74	74	
31	73.7382	73.9671	73.9433	73.7706	73.9691	74	
59	73.4629	73.7527	73.7412	73.506	73.7444	73.8469	
90	73.2643	73.5484	73.5655	73.31	73.5713	73.6271	
91	73.1903	73.4803	73.5377	73.2087	73.4938	73.5528	
120	72.6723	73.1233	73.2539	72.6455	72.9765	73.1231	
151	72.2152	72.7233	72.9527	72.1877	72.6031	72.6662	
181	71.8228	72.3381	72.6777	71.7927	72.3066	72.225	
182	71.8763	72.3788	72.6875	71.8725	72.37	72.2787	
212	72.0812	72.3807	72.703	72.1319	72.6366	72.359	
243	72.0716	72.302	72.6438	72.1265	72.636	72.3005	
273	72.0178	72.2342	72.5774	72.0741	72.5793	72.2359	
274	72.05	72.26	72.61	72.12	72.615	72.265	
304	72.2213	72.373	72.788	72.3285	72.8273	72.3895	
334	72.2952	72.414	72.8578	72.4073	72.9055	72.452	
365	72.3273	72.4373	72.8847	72.4394	72.9306	72.4906	
366	0	0	0	0	0	0	
731	0	0	0	0	0	0	
1096	0	0	0	0	0	0	
1461	0	0	0	0	0	0	
1462	73.8317	73.8567	74.0705	73.92	74.1217	74.1617	
1642	72.236	72.6623	72.859	72.2118	72.6959	72.6679	
1826	70.8658	71.2793	71.7895	70.8288	71.5826	71.1768	
1827	0	0	0	0	0	0	
1840	0	0	0	0	0	0	
1841	71.0167	71.19	71.9091	71.1033	71.8933	71.16	
2008	70.0306	70.412	71.1505	69.984	70.9194	70.2712	
2192	69.4066	70.054	70.6676	69.3327	70.4037	69.622	
2193	0	0	0	0	0	0	
2206	0	0	0	0	0	0	
2207	69.7667	70.3333	70.9208	69.8333	70.88	69.8467	
2373	68.9614	71.4261	70.3243	68.8719	70.0527	69.1385	
2557	68.3965	75.5125	69.9198	68.2945	69.6192	68.5072	
2558	0	0	0	0	0	0	
2571	0	0	0	0	0	0	
2572	68.8733	75.0467	70.273	68.9867	70.2333	68.9267	
2738	68.1832	83.4167	69.774	68.0904	69.476	68.2554	
2922	67.7533	93.2096	69.4871	67.6599	69.1687	67.7932	
2923	0	0	0	0	0	0	
2936	0	0	0	0	0	0	
2937	68.12	90.5733	69.771	68.24	69.7067	68.12	
3103	67.4524	95.1305	69.2743	67.3819	68.9635	67.4645	
3287	67.0078	95.1786	68.9652	66.9518	68.6264	67.0122	
3288	0	0	0	0	0	0	
3301	0	0	0	0	0	0	
3302	67.5333	89.7733	69.3204	67.64	69.2667	67.48	
3469	66.9266	89.3992	68.8875	66.8693	68.5566	66.8969	
3653	67.0022	88.5858	68.6868	66.5491	68.3343	66.6006	
3654	0	0	0	0	0	0	
3667	0	0	0	0	0	0	
3668	67.52	83.0133	68.9916	67.1867	68.9467	66.9733	
3834	67.3152	84.1357	68.6204	66.379	68.2872	66.465	
4018	71.1967	82.0336	68.3664	66.4815	68.0233	66.0649	
4019	0	0	0	0	0	0	
4032	0	0	0	0	0	0	
4033	70.2	76.7067	68.7442	67.1467	68.6933	66.52	
4199	74.4827	77.2799	68.3083	68.1912	67.9817	65.9555	
4383	79.5969	77.0675	68.0776	85.1246	67.7099	65.6025	
4384	0	0	0	0	0	0	
4397	0	0	0	0	0	0	
4398	78.9333	76.2133	68.3675	87.84	68.32	65.8933	
4564	90.5681	76.5287	67.8961	120.89	67.5006	65.2642	
4748	101.729	77.107	67.5746	148.913	67.1061	66.4125	
4749	0	0	0	0	0	0	
4762	0	0	0	0	0	0	
4763	91.4133	75.68	67.8523	134.347	67.76	67.8689	
4930	100.899	76.561	67.3503	158.439	66.8431	73.2993	
5114	104.824	79.5032	66.9408	168.301	66.3387	103.623	
5115	0	0	0	0	0	0	
5128	0	0	0	0	0	0	
5129	91.44	77.44	67.2424	142.96	67.0933	98.6667	
5295	99.6082	81.6798	66.704	163.11	66.0771	125.945	
5479	100.994	87.637	66.3321	166.78	65.6454	141.012	
5480	0	0	0	0	0	0	
5493	0	0	0	0	0	0	
5494	85.8133	83.3333	66.7161	140.413	66.5333	119.804	
5660	93.8851	87.8455	66.2248	162.858	65.5418	135.162	
5844	94.5983	91.3041	65.8977	168.214	65.16	139.579	
5845	0	0	0	0	0	0	
5858	0	0	0	0	0	0	
5859	82.96	85.68	66.3075	141.049	66.08	118.17	
6025	87.4482	89.8164	65.814	164.875	65.0786	129.687	
