TABLE NUMBER 1
                                                 FILE: c:\temp_flavio001\PUNQS3.irf
TIME	Water Cut SC	Water Cut SC	Water Cut SC	Water Cut SC	Water Cut SC	Water Cut SC	
 	WELL	WELL	WELL	WELL	WELL	WELL	
 	PRO-1	PRO-4	PRO-5	PRO-11	PRO-12	PRO-15	
day							
0.01	0	0	0	0	0	0	
1.01	1.10328e-010	7.70881e-011	2.06309e-010	2.19007e-010	1.28551e-010	3.08828e-010	
31	3.464e-009	1.35683e-009	4.03964e-007	4.7741e-009	4.90748e-009	8.91176e-007	
59	7.24195e-009	3.56327e-009	1.81298e-006	8.99796e-009	9.12555e-009	3.80668e-006	
90	1.09463e-008	6.33754e-009	4.3283e-006	1.30303e-008	1.26563e-008	8.93987e-006	
91	1.25304e-008	7.44256e-009	4.44387e-006	1.5415e-008	1.44264e-008	9.30507e-006	
120	2.70096e-008	1.49112e-008	7.8023e-006	3.28224e-008	2.96447e-008	2.21213e-005	
151	4.39793e-008	2.60874e-008	1.55805e-005	5.14815e-008	4.3753e-008	5.41238e-005	
181	6.22531e-008	4.00069e-008	2.83699e-005	7.14531e-008	5.71994e-008	0.000111425	
182	5.95272e-008	3.83862e-008	2.87249e-005	6.71565e-008	5.42088e-008	0.000112505	
212	4.98032e-008	3.8314e-008	3.72206e-005	5.42176e-008	4.23781e-008	0.000134827	
243	5.02325e-008	4.14858e-008	4.97584e-005	5.45967e-008	4.23871e-008	0.000169514	
273	5.27189e-008	4.43357e-008	6.18707e-005	5.72943e-008	4.47859e-008	0.000203673	
274	5.13066e-008	4.33938e-008	6.21507e-005	5.51622e-008	4.33321e-008	0.000204307	
304	4.36823e-008	3.86307e-008	6.74805e-005	4.57279e-008	3.48591e-008	0.000217321	
334	4.06015e-008	3.70236e-008	7.43885e-005	4.2502e-008	3.19733e-008	0.000235733	
365	3.93052e-008	3.61263e-008	8.09182e-005	4.13202e-008	3.10755e-008	0.000253373	
366	0	0	0	0	0	0	
731	0	0	0	0	0	0	
1096	0	0	0	0	0	0	
1461	0	0	0	0	0	0	
1462	2.43153e-009	2.46645e-009	7.40404e-005	3.2185e-009	2.38186e-009	0.000204521	
1642	4.6152e-008	3.06021e-008	0.000150466	5.75917e-008	4.28288e-008	0.000453313	
1826	1.23084e-007	9.63857e-008	0.00036879	1.80099e-007	1.06915e-007	0.00127985	
1827	0	0	0	0	0	0	
1840	0	0	0	0	0	0	
1841	1.11538e-007	1.01424e-007	0.00049738	1.82204e-007	9.01117e-008	0.00178174	
2008	1.94543e-007	1.70642e-007	0.00178908	4.97135e-007	2.13876e-007	0.00601708	
2192	2.6073e-007	2.44273e-007	0.0032498	1.08231e-006	4.27382e-007	0.0119369	
2193	0	0	0	0	0	0	
2206	0	0	0	0	0	0	
2207	2.22661e-007	2.27087e-007	0.00360649	1.184e-006	4.38082e-007	0.01375	
2373	3.23803e-007	3.21093e-007	0.00477493	2.68373e-006	1.15727e-006	0.0468844	
2557	4.37053e-007	4.23982e-007	0.00646186	6.60805e-006	4.42165e-006	0.155635	
2558	0	0	0	0	0	0	
2571	0	0	0	0	0	0	
2572	3.69673e-007	3.6565e-007	0.00636395	6.29103e-006	4.24582e-006	0.151083	
2738	5.11821e-007	4.7684e-007	0.00753999	1.11667e-005	1.01688e-005	0.221619	
2922	6.85567e-007	5.72994e-007	0.0112981	1.90389e-005	2.52241e-005	0.274084	
2923	0	0	0	0	0	0	
2936	0	0	0	0	0	0	
2937	6.59028e-007	5.15779e-007	0.0124339	2.10543e-005	3.12048e-005	0.274205	
3103	1.00442e-006	7.09428e-007	0.0179035	6.11915e-005	6.80117e-005	0.287018	
3287	1.79835e-006	1.58861e-006	0.0284811	0.00170764	0.000178272	0.291922	
3288	0	0	0	0	0	0	
3301	0	0	0	0	0	0	
3302	1.65532e-006	1.47144e-006	0.0279313	0.00164899	0.000177581	0.285555	
3469	2.70002e-006	3.33412e-006	0.0361664	0.011269	0.000325665	0.285635	
3653	4.65577e-006	1.19274e-005	0.0481298	0.0499822	0.000623281	0.284152	
3654	0	0	0	0	0	0	
3667	0	0	0	0	0	0	
3668	5.1524e-006	1.70582e-005	0.0520139	0.0677618	0.000783408	0.281222	
3834	7.96671e-006	4.61205e-005	0.0674252	0.137964	0.00329205	0.283252	
4018	1.74462e-005	0.000360297	0.0962099	0.266616	0.0115131	0.276115	
4019	0	0	0	0	0	0	
4032	0	0	0	0	0	0	
4033	1.69711e-005	0.000377157	0.0947712	0.265676	0.0115615	0.272948	
4199	2.66872e-005	0.00106136	0.110799	0.350295	0.0316283	0.267162	
4383	4.22124e-005	0.00995078	0.127671	0.425944	0.0652729	0.259462	
4384	0	0	0	0	0	0	
4397	0	0	0	0	0	0	
4398	4.6356e-005	0.0147532	0.130427	0.429251	0.0764721	0.257971	
4564	6.942e-005	0.0488017	0.14662	0.470097	0.138511	0.25541	
4748	0.000104686	0.136685	0.168021	0.50334	0.203797	0.295535	
4749	0	0	0	0	0	0	
4762	0	0	0	0	0	0	
4763	0.000113643	0.168203	0.170839	0.492614	0.221739	0.307999	
4930	0.000153297	0.272238	0.183741	0.52079	0.2637	0.328906	
5114	0.000244508	0.383909	0.200619	0.546807	0.326624	0.346757	
5115	0	0	0	0	0	0	
5128	0	0	0	0	0	0	
5129	0.00026359	0.411395	0.200946	0.528302	0.342612	0.337695	
5295	0.000407536	0.447797	0.210773	0.561527	0.363318	0.352008	
5479	0.000846569	0.490438	0.221282	0.59203	0.388169	0.36287	
5480	0	0	0	0	0	0	
5493	0	0	0	0	0	0	
5494	0.000837793	0.500429	0.218303	0.575496	0.393748	0.350616	
5660	0.00237192	0.518672	0.225867	0.606346	0.40306	0.363148	
5844	0.0118956	0.546886	0.233943	0.634851	0.41884	0.370654	
5845	0	0	0	0	0	0	
5858	0	0	0	0	0	0	
5859	0.011919	0.57047	0.230962	0.621024	0.425115	0.358984	
6025	0.02188	0.571219	0.237428	0.648997	0.430517	0.369972	
