"prod",4
"tempo(anos)","tempo(data)","gor truth","wct_truth","bhp_truth","gor_melhor","wct_melhor","bhp_melhor","gor_pior","wct_pior","bhp_pior"
0,"1967-01-01",0,0,22207.80078,0,0,22505.7207,0,0,22512.16992
0,"1967-01-02",61.6294,8.5722E-011,22178.69922,74,7.7864E-011,22477.81055,74,7.755E-011,22484.32031
0.1,"1967-02-01",74.8862,1.2865E-009,22083.09961,73.97,1.373E-009,22375.91992,73.97,1.3689E-009,22382.49023
0.2,"1967-03-01",82.1442,3.1123E-009,22018.59961,73.75,3.5732E-009,22305.91992,73.75,3.6049E-009,22311.49023
0.2,"1967-04-01",90.2749,5.7723E-009,21954,73.55,6.3346E-009,22237.06055,73.54,6.427E-009,22241.58984
0.2,"1967-04-02",63.4886,6.8152E-009,20887.59961,73.48,7.4414E-009,21169.43945,73.47,7.5527E-009,21180.11914
0.3,"1967-05-01",88.5714,1.5098E-008,20720.90039,73.12,1.497E-008,20990.56055,73.12,1.5113E-008,21001.50977
0.4,"1967-06-01",66.0978,2.6153E-008,20600.69922,72.71,2.6379E-008,20856.50977,72.71,2.6665E-008,20866.23047
0.5,"1967-07-01",74.1298,3.6246E-008,20499.40039,72.32,4.0918E-008,20741.65039,72.3,4.1501E-008,20749.93945
0.5,"1967-07-02",74.3975,3.3327E-008,21587,72.36,3.9279E-008,21832.31055,72.34,3.9868E-008,21834.08008
0.6,"1967-08-01",62.1141,3.3503E-008,21587.80078,72.35,3.9411E-008,21828.51953,72.33,4.0265E-008,21827.89062
0.7,"1967-09-01",80.2238,3.5881E-008,21563.09961,72.27,4.2881E-008,21802.34961,72.25,4.3817E-008,21801.58008
0.7,"1967-10-01",75.2506,3.7959E-008,21539.69922,72.2,4.5915E-008,21778.18945,72.18,4.689E-008,21777.38086
0.8,"1967-10-02",74.4428,3.6454E-008,22084.5,72.22,4.4953E-008,22325.71094,72.19,4.592E-008,22321.83008
0.8,"1967-11-01",65.1352,3.4446E-008,22121.30078,72.33,4.028E-008,22365.19922,72.31,4.1249E-008,22360.84961
0.9,"1967-12-01",89.6687,3.2239E-008,22128.69922,72.37,3.8705E-008,22374.81055,72.35,3.9614E-008,22370.7793
1,"1968-01-01",75.479,3.1112E-008,22134,72.39,3.7808E-008,22382.18945,72.37,3.8662E-008,22378.51953
