                                              Y1              Y1              Y1              Y1              Y1              Y1
                                           PRO-1          PRO-11          PRO-12          PRO-15           PRO-4           PRO-5
            TIME            DATE    Water Cut SC    Water Cut SC    Water Cut SC    Water Cut SC    Water Cut SC    Water Cut SC
           (day)                              ()              ()              ()              ()              ()              ()
       1.0100000      1967-01-02    6.42266e-010    1.09213e-009    6.87375e-010    3.39427e-010    4.47200e-010    4.30981e-010
       31.000000      1967-02-01    5.94217e-009    9.83694e-009    6.77455e-009    3.87876e-009    2.31380e-009    5.20820e-009
       59.000000      1967-03-01    1.06960e-008    1.57572e-008    1.16704e-008    7.88384e-009    4.86191e-009    9.73342e-009
       90.000000      1967-04-01    1.51976e-008    2.06542e-008    1.58804e-008    1.19066e-008    7.90014e-009    1.35526e-008
       91.000000      1967-04-02    2.13055e-008    2.85760e-008    2.14388e-008    1.54394e-008    1.17903e-008    1.77025e-008
       120.00000      1967-05-01    4.20253e-008    6.06100e-008    4.38374e-008    2.94183e-008    2.22302e-008    3.48048e-008
       151.00000      1967-06-01    6.59711e-008    9.15472e-008    6.78617e-008    5.12647e-008    3.98610e-008    5.60701e-008
       181.00000      1967-07-01    7.96560e-008    1.08499e-007    8.15018e-008    6.50819e-008    5.16011e-008    6.79418e-008
       182.00000      1967-07-02    7.32613e-008    9.81637e-008    7.50623e-008    6.26512e-008    4.59369e-008    6.37036e-008
       212.00000      1967-08-01    5.88433e-008    7.04691e-008    5.70998e-008    5.68428e-008    4.17955e-008    5.11518e-008
       243.00000      1967-09-01    6.00996e-008    7.16545e-008    5.72821e-008    6.03214e-008    4.59527e-008    5.05226e-008
       273.00000      1967-10-01    6.37664e-008    7.72045e-008    5.98911e-008    6.42209e-008    4.95392e-008    5.23147e-008
       274.00000      1967-10-02    5.83124e-008    7.05058e-008    5.50342e-008    6.05825e-008    4.50993e-008    4.86523e-008
       304.00000      1967-11-01    4.89463e-008    5.61983e-008    4.42389e-008    5.40876e-008    3.93928e-008    4.02520e-008
       334.00000      1967-12-01    4.62912e-008    5.43344e-008    4.12971e-008    5.17167e-008    3.82659e-008    3.71483e-008
       365.00000      1968-01-01    4.53774e-008    5.49501e-008    4.02098e-008    5.04471e-008    3.78865e-008    3.59149e-008
       366.00000      1968-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       731.00000      1969-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1096.0000      1970-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1461.0000      1971-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1462.0000      1971-01-02    5.66555e-009    1.12768e-008    4.86306e-009    4.82270e-009    5.27672e-009    4.43698e-009
       1642.0000      1971-07-01    6.35181e-008    1.12977e-007    5.94563e-008    4.91050e-008    4.27811e-008    5.42744e-008
       1826.0000      1972-01-01    1.82534e-007    4.05702e-007    1.36372e-007    1.37164e-007    1.53962e-007    1.61167e-007
       1827.0000      1972-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1840.0000      1972-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1841.0000      1972-01-16    1.63385e-007    5.18386e-007    1.08108e-007    1.40298e-007    1.56897e-007    1.73710e-007
       2008.0000      1972-07-01    3.22400e-007    2.25711e-006    2.06291e-007    2.29957e-007    3.52110e-007    4.59667e-007
       2192.0000      1973-01-01    4.75081e-007    3.28187e-005    2.92638e-007    3.47817e-007    5.40366e-007    1.99953e-006
       2193.0000      1973-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2206.0000      1973-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2207.0000      1973-01-16    3.64867e-007    5.22729e-005    2.24635e-007    3.20387e-007    4.08937e-007    2.52132e-006
       2373.0000      1973-07-01    5.60755e-007     0.000607589    3.48648e-007    4.33184e-007    6.24927e-007    6.35168e-006
       2557.0000      1974-01-01    6.92514e-007       0.0121957    4.28638e-007    5.53895e-007    7.43207e-007    3.54622e-005
       2558.0000      1974-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2571.0000      1974-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2572.0000      1974-01-16    5.35647e-007       0.0189619    3.29415e-007    5.03063e-007    5.52336e-007    4.75916e-005
       2738.0000      1974-07-01    7.55595e-007       0.0542589    4.68452e-007    6.34337e-007    7.70787e-007     0.000110153
       2922.0000      1975-01-01    8.89149e-007        0.117341    5.39798e-007    7.61699e-007    8.96821e-007     0.000615070
       2923.0000      1975-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2936.0000      1975-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2937.0000      1975-01-16    6.97275e-007        0.129858    4.18822e-007    6.93301e-007    7.01645e-007     0.000953108
       3103.0000      1975-07-01    9.60126e-007        0.202183    5.75738e-007    8.51887e-007    2.65349e-006      0.00217667
       3287.0000      1976-01-01    1.12392e-006        0.300512    6.52242e-007    1.01736e-006     0.000142901      0.00482244
       3288.0000      1976-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3301.0000      1976-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3302.0000      1976-01-16    8.85923e-007        0.309054    5.11408e-007    9.48110e-007     0.000254690      0.00550189
       3469.0000      1976-07-01    1.19744e-006        0.360156    6.86363e-007    1.14365e-006      0.00744410       0.0112764
       3653.0000      1977-01-01    1.37474e-006        0.417919    7.63440e-007    1.34925e-006        0.119448       0.0198012
       3654.0000      1977-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3667.0000      1977-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3668.0000      1977-01-16    1.09762e-006        0.423285    6.08662e-007    1.29064e-006        0.194515       0.0218912
       3834.0000      1977-07-01    1.48054e-006        0.464690    8.09886e-007    1.53133e-006        0.303144       0.0294739
       4018.0000      1978-01-01    1.71635e-006        0.504110    9.15356e-007    1.87755e-006        0.391738       0.0436029
       4019.0000      1978-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4032.0000      1978-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4033.0000      1978-01-16    1.38620e-006        0.504836    7.43965e-007    1.94927e-006        0.415863       0.0458649
       4199.0000      1978-07-01    1.86033e-006        0.535709    1.12622e-006    4.20499e-006        0.441548       0.0530640
       4383.0000      1979-01-01    2.22687e-006        0.561396    1.97600e-005    9.01023e-006        0.480821       0.0611884
       4384.0000      1979-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4397.0000      1979-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4398.0000      1979-01-16    1.82151e-006        0.558803    3.60762e-005    7.44019e-006        0.491768       0.0603292
       4564.0000      1979-07-01    2.42845e-006        0.583570      0.00103658    1.05359e-005        0.514531       0.0645438
