                                              Y1              Y1              Y1              Y1              Y1              Y1
                                           PRO-1          PRO-11          PRO-12          PRO-15           PRO-4           PRO-5
            TIME            DATE            Well            Well            Well            Well            Well            Well
                                     Bottom-hole     Bottom-hole     Bottom-hole     Bottom-hole     Bottom-hole     Bottom-hole
                                        Pressure        Pressure        Pressure        Pressure        Pressure        Pressure
           (day)                           (kPa)           (kPa)           (kPa)           (kPa)           (kPa)           (kPa)
    0.0099999998      1967-01-01  22657.04296875  22455.81054688  22843.40429688  21796.21484375  22410.95507813  23067.70507813
       1.0100000      1967-01-02  22578.06250000  22351.19921875  22760.81054688  21738.64843750  22345.08398438  23002.28515625
       31.000000      1967-02-01  22386.03515625  22106.69726563  22558.35546875  21580.69726563  22245.32226563  22818.55859375
       59.000000      1967-03-01  22311.21484375  22032.38281250  22486.63867188  21496.86718750  22178.46093750  22744.97070313
       90.000000      1967-04-01  22243.64843750  21969.10546875  22425.92382813  21421.56640625  22111.30859375  22685.97070313
       91.000000      1967-04-02  21264.00195313  20682.56445313  21575.66992188  19482.40820313  20876.92968750  22066.61718750
       120.00000      1967-05-01  20998.21875000  20330.89453125  21299.82226563  19227.17578125  20678.38671875  21833.62695313
       151.00000      1967-06-01  20866.89453125  20186.39062500  21174.36328125  19055.63281250  20533.62890625  21713.71289063
       181.00000      1967-07-01  20748.78320313  20060.33984375  21061.10351563  18900.50390625  20400.87695313  21610.14453125
       182.00000      1967-07-02  21752.96679688  21399.19335938  21937.55664063  20908.34179688  21678.90429688  22245.05468750
       212.00000      1967-08-01  21849.83203125  21573.19531250  22057.79296875  20950.48828125  21709.36914063  22335.41406250
       243.00000      1967-09-01  21835.90820313  21567.05859375  22049.53125000  20925.00390625  21678.34960938  22334.87304688
       273.00000      1967-10-01  21811.67968750  21547.16406250  22031.89453125  20897.23828125  21650.45507813  22323.07812500
       274.00000      1967-10-02  22312.57421875  22206.15039063  22466.43164063  21898.42968750  22285.56054688  22638.41210938
       304.00000      1967-11-01  22382.36523438  22313.43164063  22549.92578125  21947.20898438  22334.23437500  22707.93164063
       334.00000      1967-12-01  22395.88476563  22329.43945313  22565.78906250  21960.41601563  22339.55273438  22727.08789063
       365.00000      1968-01-01  22402.66210938  22336.42968750  22574.35351563  21969.78320313  22342.67382813  22737.85546875
       366.00000      1968-01-02  22899.65820313  22986.60156250  23004.41015625  22963.04882813  22978.02343750  23050.49414063
       731.00000      1969-01-01  23235.49609375  23337.07226563  23333.12500000  23313.18359375  23272.80468750  23358.02734375
       1096.0000      1970-01-01  23341.32031250  23434.57031250  23429.47851563  23436.80078125  23374.37109375  23449.56054688
       1461.0000      1971-01-01  23398.90625000  23488.80078125  23481.70507813  23500.68359375  23429.00781250  23499.65820313
       1462.0000      1971-01-02  21958.59765625  21594.24414063  22228.77929688  20631.61328125  21585.16601563  22579.04296875
       1642.0000      1971-07-01  21040.68945313  20645.82617188  21450.93750000  19801.09765625  20886.29101563  21882.45507813
       1826.0000      1972-01-01  20356.73437500  20228.53515625  21091.60742188  19304.37695313  19455.73437500  21554.26367188
       1827.0000      1972-01-02  22293.38671875  22328.39062500  22451.76757813  22456.38085938  22479.17968750  22537.13281250
       1840.0000      1972-01-15  22499.01562500  22613.45117188  22668.71875000  22572.89453125  22640.00585938  22697.41406250
       1841.0000      1972-01-16  20620.11718750  20569.57812500  21343.08203125  19454.91796875  19713.73046875  21731.94531250
       2008.0000      1972-07-01  19988.09570313  19928.14257813  20851.74609375  18959.38671875  18545.49023438  21339.81640625
       2192.0000      1973-01-01  19677.36718750  19584.84179688  20604.79296875  18607.04101563  18246.24804688  21112.98632813
       2193.0000      1973-01-02  21770.30468750  21856.47265625  22023.43750000  21943.24023438  21968.12500000  22137.69140625
       2206.0000      1973-01-15  22014.44531250  22159.11523438  22251.64648438  22070.39648438  22188.80468750  22305.64648438
       2207.0000      1973-01-16  19995.98632813  19952.20312500  20870.71679688  18776.06250000  18647.13671875  21300.86132813
       2373.0000      1973-07-01  19491.42773438  19310.14648438  20441.53710938  18384.75781250  18131.37304688  20962.32226563
       2557.0000      1974-01-01  19285.02343750  18910.15234375  20270.49609375  18140.16406250  18023.77343750  20792.62500000
       2558.0000      1974-01-02  21469.35742188  21559.36718750  21747.77734375  21613.65039063  21703.53515625  21867.48437500
       2571.0000      1974-01-15  21719.98242188  21887.57421875  21977.88867188  21750.56835938  21940.29101563  22042.61328125
       2572.0000      1974-01-16  19617.48828125  19325.75000000  20554.68750000  18326.41406250  18461.05664063  20990.90234375
       2738.0000      1974-07-01  19156.96679688  18197.75976563  20168.30664063  17991.11523438  18070.43945313  20682.77539063
       2922.0000      1975-01-01  18970.78125000  16554.62890625  20034.82812500  17798.54687500  17994.90429688  20535.34765625
       2923.0000      1975-01-02  21240.29882813  21276.43750000  21551.81445313  21379.48632813  21511.29882813  21681.66796875
       2936.0000      1975-01-15  21497.31445313  21662.75390625  21788.29687500  21520.91015625  21764.81835938  21860.64843750
       2937.0000      1975-01-16  19316.65039063  17134.05468750  20327.58398438  17993.16992188  18417.54492188  20738.61132813
       3103.0000      1975-07-01  18839.39062500  14800.43457031  19947.25000000  17679.63867188  17902.02343750  20434.90234375
       3287.0000      1976-01-01  18644.93359375  13310.96289063  19821.07421875  17502.58398438  17482.60742188  20292.84375000
       3288.0000      1976-01-02  21005.52539063  20943.99023438  21363.88085938  21178.14062500  21311.29296875  21518.73828125
       3301.0000      1976-01-15  21279.08203125  21425.73437500  21619.09765625  21308.97265625  21598.31835938  21701.79882813
       3302.0000      1976-01-16  19013.35156250  14247.07519531  20121.15429688  17687.60742188  17945.54882813  20500.25976563
       3469.0000      1976-07-01  18521.34179688  12147.21875000  19744.03515625  17387.23046875  16569.97460938  20203.17187500
       3653.0000      1977-01-01  18320.37695313  10708.17480469  19620.26171875  17195.12304688  14975.14160156  20068.54882813
       3654.0000      1977-01-02  20783.71093750  20639.21679688  21204.04492188  20963.46679688  21128.67773438  21367.92382813
       3667.0000      1977-01-15  21071.14062500  21201.06250000  21464.02343750  21096.63085938  21460.76367188  21555.89843750
       3668.0000      1977-01-16  18715.79101563  11934.66894531  19928.68164063  17381.00781250  15608.30859375  20284.10937500
       3834.0000      1977-07-01  18179.14062500   9671.54980469  19534.79882813  17070.29687500  14091.71484375  19981.66210938
       4018.0000      1978-01-01  17949.64257813   8476.93554688  19385.99609375  16338.13183594  13616.79394531  19840.84179688
       4019.0000      1978-01-02  20529.80273438  20301.00390625  21018.36132813  20710.79492188  20810.13085938  21199.99218750
       4032.0000      1978-01-15  20825.89257813  20945.51171875  21285.59375000  20845.36523438  21237.73437500  21392.95703125
       4033.0000      1978-01-16  18365.23437500   9915.06835938  19706.51171875  16594.84179688  14504.48242188  20063.89843750
       4199.0000      1978-07-01  17782.20117188   7423.68847656  19273.77539063  10613.53710938  13301.29785156  19747.13085938
       4383.0000      1979-01-01  17484.95312500   6191.95800781  19038.80468750   6399.40673828  12812.89746094  19590.48632813
       4384.0000      1979-01-02  20214.03320313  19887.36718750  20777.95507813  20311.70703125  20508.96875000  20999.46875000
       4397.0000      1979-01-15  20512.87890625  20608.00781250  21067.34570313  20485.97070313  20980.74609375  21195.08007813
       4398.0000      1979-01-16  17916.39257813   7862.34814453  19390.33593750   8883.81445313  13738.50000000  19818.78906250
       4564.0000      1979-07-01  17281.27929688   5075.64892578  18722.63085938   5956.07666016  12255.77929688  19489.98828125
       4748.0000      1980-01-01  16976.80859375   3880.44995117  18072.02734375   5499.99951172  11529.92675781  19332.33203125
       4749.0000      1980-01-02  19876.30859375  19442.10546875  20549.78125000  19958.62890625  20204.06250000  20785.78515625
       4762.0000      1980-01-15  20180.13476563  20248.13867188  20855.46484375  20142.22851563  20709.58398438  20985.69921875
       4763.0000      1980-01-16  17434.47460938   5766.00146484  18451.48242188   8097.32714844  12596.16015625  19567.68164063
       4930.0000      1980-07-01  16785.91210938   2711.97045898  17490.36523438   5084.44970703  10592.22753906  19206.70898438
       5114.0000      1981-01-01  16507.87890625   1344.89001465  16782.47656250   3561.55468750   9157.82324219  19022.01757813
       5115.0000      1981-01-02  19550.91406250  18995.62304688  20229.06640625  19620.39453125  19926.28125000  20524.16210938
       5128.0000      1981-01-15  19860.39843750  19891.60351563  20592.16210938  19808.82226563  20454.63281250  20730.86328125
       5129.0000      1981-01-16  16980.69531250   3443.28710938  17249.60546875   6533.05615234  10345.52050781  19266.81640625
       5295.0000      1981-07-01  16358.22265625   -109.36540985  16167.06640625    -16.08306503   8034.60498047  18901.38085938
       5479.0000      1982-01-01  16166.94628906    101.32499695  15551.22656250    101.32499695   7029.47998047  18733.03515625
       5480.0000      1982-01-02  19275.06445313  18732.09960938  19951.93554688  19372.34960938  19654.22070313  20281.52539063
       5493.0000      1982-01-15  19591.70898438  19617.62695313  20349.23632813  19539.65429688  20215.66015625  20495.90429688
       5494.0000      1982-01-16  16655.00976563   -443.83035278  16084.82324219   1216.40014648   8286.12890625  18988.53710938
       5660.0000      1982-07-01  16147.82519531    101.32499695  15202.28906250    101.32499695   6321.28222656  18645.84179688
       5844.0000      1983-01-01  16003.71777344    101.32499695  14636.61035156    101.32499695   5496.65722656  18501.77148438
       5845.0000      1983-01-02  19124.25390625  18694.69140625  19694.00781250  19236.96484375  19465.73632813  20092.11523438
       5858.0000      1983-01-15  19440.32421875  19505.88281250  20158.16015625  19387.99609375  20049.30664063  20312.88281250
       5859.0000      1983-01-16  16492.63281250    101.32499695  15270.66113281    101.32499695   6738.03808594  18767.09179688
       6025.0000      1983-07-01  15982.60253906    101.32499695  14229.86230469    101.32499695   4963.17773438  18432.82031250
