iteration     2938
 status:           0
 it:        2938
 if flag=0, a maximum was founded satisfying
 convergence criteria and maximum number
 of iteractions
 if flag=1, the maximum number of iteractions
 was exceded
 MELHOR MODELO - COMPLEX          832
 Funcao Objeto =   3.9014063E-04
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.2148   554.9169   175.1443
    0.2116    59.4687    21.5553
    0.0541    14.7492     7.6923
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0554     7.8447     5.5519
    0.1963   330.6110   105.6094
    0.2144   626.4850   197.3304
    0.1934   502.4274   158.8725
    0.0945    31.3453    12.8370
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1762   166.1265    54.6192
    0.1535    20.8357     9.5791
    0.1073   261.3757    84.1465
    0.1783   494.6677   156.4670
    0.1999   520.8948   164.5974
    0.1538    42.7282    16.3657
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1790   590.0073   186.0222
    0.1890   618.1042   194.7323
    0.2134    34.9168    13.9442
    0.0898    24.7075    10.7793
    0.1612   285.9299    91.7583
    0.2315   563.9335   177.9394
    0.1626   362.0803   115.3649
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1595   695.9999   218.8800
    0.2130   689.7465   216.9414
    0.1849   559.4690   176.5554
    0.1937   232.4068    75.1661
    0.1073    15.9264     8.0572
    0.0524   119.3343    40.1136
    0.1953   632.6268   199.2343
    0.1801   521.9165   164.9141
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.2108   711.5949   223.7144
    0.1657   697.4033   219.3150
    0.1665   606.9213   191.2656
    0.1742   334.0373   106.6716
    0.1659    88.5524    30.5712
    0.0919    29.7710    12.3490
    0.1590   576.8787   181.9524
    0.1820   747.1409   234.7337
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1386   612.6042   193.0273
    0.1888   714.0075   224.4623
    0.1874   609.4534   192.0506
    0.1831   501.1378   158.4727
    0.1156   313.4891   100.3016
    0.1669    26.6727    11.3885
    0.1736   498.5212   157.6616
    0.2082   377.2361   120.0632
    0.0000     0.0000     3.1200
    0.0172     7.5803     5.4699
    0.0730   101.2395    34.5042
    0.1726   234.9121    75.9428
    0.2143   552.8035   174.4891
    0.2016   700.1756   220.1744
    0.1198   276.6917    88.8944
    0.1287    30.8224    12.6749
    0.1037    79.3967    27.7330
    0.1643   629.0788   198.1344
    0.0000     0.0000     3.1200
    0.0177     4.6082     4.5486
    0.0538    12.6453     7.0400
    0.0576    78.4040    27.4252
    0.1704   243.7748    78.6902
    0.2191   435.8990   138.2487
    0.2370   710.4720   223.3663
    0.1563   326.5224   104.3419
    0.0786    48.4786    18.1484
    0.2085   278.3139    89.3973
    0.0000     0.0000     3.1200
    0.0459     8.3363     5.7042
    0.0383     9.2233     5.9792
    0.0464     4.4247     4.4916
    0.0775    43.6794    16.6606
    0.1508   137.7887    45.8345
    0.2063   581.1061   183.2629
    0.2225   633.6093   199.5389
    0.2178   281.9438    90.5226
    0.1722   189.1059    61.7428
    0.0000     0.0000     3.1200
    0.0412     3.7385     4.2789
    0.0979    16.7045     8.2984
    0.0989    13.9965     7.4589
    0.0597    13.0987     7.1806
    0.0800    30.0440    12.4336
    0.1840   404.3112   128.4565
    0.1831   625.0199   196.8762
    0.2797   774.8440   243.3216
    0.1759   371.5130   118.2890
    0.0748     5.6456     4.8701
    0.0221     3.4533     4.1905
    0.0864     9.6674     6.1169
    0.1447    95.4459    32.7082
    0.0439    14.8334     7.7183
    0.0599    19.0273     9.0185
    0.1298    44.9973    17.0692
    0.2234   750.6039   235.8072
    0.2264   633.8260   199.6061
    0.1758   490.1605   155.0698
    0.0588    43.6939    16.6651
    0.0230     4.9060     4.6409
    0.0518     8.1108     5.6343
    0.1334   167.6243    55.0835
    0.0720   201.8464    65.6924
    0.0245    19.4371     9.1455
    0.0655    72.3651    25.5532
    0.2224   640.6841   201.7321
    0.2051   617.1844   194.4472
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1039    53.7724    19.7894
    0.0456    12.7220     7.0638
    0.0348     8.5911     5.7832
    0.1572   272.6004    87.6261
    0.0745    34.6754    13.8694
    0.0437    47.2733    17.7747
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0700    17.9870     8.6960
    0.0907    44.1228    16.7981
    0.0722    74.6996    26.2769
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1468   111.8047    37.7795
    0.1069    83.7103    29.0702
    0.0948    27.0167    11.4952
    0.0482    14.5077     7.6174
    0.0358    21.0821     9.6555
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1079   152.3173    50.3384
    0.1689   217.2103    70.4552
    0.1507   111.4565    37.6715
    0.1442   101.7628    34.6665
    0.0621    15.6183     7.9617
    0.0326     6.4227     5.1110
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1424   150.5913    49.8033
    0.1199   189.3337    61.8134
    0.1485   179.4121    58.7378
    0.1560   181.0899    59.2579
    0.1413    86.1350    29.8218
    0.0684    19.9509     9.3048
    0.0324     3.1912     4.1093
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1012    52.5280    19.4037
    0.1157   118.8785    39.9723
    0.1121    99.1822    33.8665
    0.0837   101.5635    34.6047
    0.0568    41.2073    15.8943
    0.0977    60.9942    22.0282
    0.0642    18.3868     8.8199
    0.0299     3.6195     4.2420
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0776    14.8554     7.7252
    0.0367    26.8708    11.4499
    0.0408    11.2831     6.6178
    0.0621    33.1186    13.3868
    0.0746    36.1409    14.3237
    0.1004    70.4988    24.9746
    0.0996    24.4555    10.7012
    0.0357     3.7006     4.2672
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0514    13.8419     7.4110
    0.0257     3.4304     4.1834
    0.0363     8.0657     5.6204
    0.0261     6.0562     4.9974
    0.0520    10.5898     6.4028
    0.0880    81.5006    28.3852
    0.0806    23.6948    10.4654
    0.0577    12.4379     6.9757
    0.0000     0.0000     3.1200
    0.0647    34.3627    13.7724
    0.0762    14.0578     7.4779
    0.0240     6.7754     5.2204
    0.0331     7.3554     5.4002
    0.0400    16.7600     8.3156
    0.0170     0.8998     3.3989
    0.0424    14.9441     7.7527
    0.0742    25.0790    10.8945
    0.0975    13.2910     7.2402
    0.0000     0.0000     3.1200
    0.0479    17.6947     8.6054
    0.0470    14.6517     7.6620
    0.0719    25.5989    11.0557
    0.0501    15.8690     8.0394
    0.0620    13.6920     7.3645
    0.0284     7.0707     5.3119
    0.0407    10.8236     6.4753
    0.0377     6.2996     5.0729
    0.0469     8.4752     5.7473
    0.0000     0.0000     3.1200
    0.0321     5.5417     4.8379
    0.0353    12.1533     6.8875
    0.0812    32.9435    13.3325
    0.0493    19.3271     9.1114
    0.0272     3.5085     4.2076
    0.0335     3.2797     4.1367
    0.0735    11.5813     6.7102
    0.0648     6.5054     5.1367
    0.0842    31.2779    12.8161
    0.0000     0.0000     3.1200
    0.0805    55.0593    20.1884
    0.0475    26.7062    11.3989
    0.0980    98.1600    33.5496
    0.0900    71.8027    25.3788
    0.0362    12.8742     7.1110
    0.0468     8.2538     5.6787
    0.1224    59.0383    21.4219
    0.0897    34.8597    13.9265
    0.0879    12.3046     6.9344
    0.0651    30.0806    12.4450
    0.0766    18.4164     8.8291
    0.0877    28.2179    11.8675
    0.1438   141.2900    46.9199
    0.1076   108.6749    36.8092
    0.0697    25.5807    11.0500
    0.0453    13.5588     7.3232
    0.0728    17.5113     8.5485
    0.0657    20.6645     9.5260
    0.0430     4.7648     4.5971
    0.0983    13.3116     7.2466
    0.0473     3.3767     4.1668
    0.0411     2.5921     3.9236
    0.0813    20.2332     9.3923
    0.0967    35.8316    14.2278
    0.0504    30.3959    12.5427
    0.1044    52.8508    19.5037
    0.0860    51.1633    18.9806
    0.0958    25.3635    10.9827
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0417     5.7242     4.8945
    0.0747    18.4498     8.8394
    0.1571    92.5846    31.8212
    0.0938    26.3631    11.2926
    0.0683    54.6687    20.0673
    0.1322    87.7635    30.3267
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.2192   654.6118   206.0497
    0.2231   736.9561   231.5764
    0.2054   470.7726   149.0595
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1037   402.6353   127.9370
    0.1784   617.6126   194.5799
    0.1833   718.7443   225.9307
    0.2274   680.0778   213.9441
    0.1768   335.5974   107.1552
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1592   608.6898   191.8138
    0.1753   286.2732    91.8647
    0.1177   141.2192    46.8980
    0.1338   307.9998    98.6000
    0.2266   609.3911   192.0312
    0.2280   646.9302   203.6684
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1776   399.3224   126.9099
    0.2213   170.5432    55.9884
    0.2047   405.5676   128.8460
    0.1122   318.1740   101.7539
    0.0795   142.3396    47.2453
    0.1951   261.2555    84.1092
    0.1804   452.3238   143.3404
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1472   363.7853   115.8934
    0.2024   428.7970   136.0471
    0.1948   373.9022   119.0297
    0.2007   194.5750    63.4382
    0.0926    77.4745    27.1371
    0.1298   230.7284    74.6458
    0.2075   230.0617    74.4391
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.1145    43.2666    16.5327
    0.0763    73.9168    26.0342
    0.1081   129.8803    43.3829
    0.1430   201.3376    65.5347
    0.2208   195.1891    63.6286
    0.1757   111.0913    37.5583
    0.1169    59.3697    21.5246
    0.2221   296.1133    94.9151
    0.0000     0.0000     3.1200
    0.0000     0.0000     3.1200
    0.0590    36.8884    14.5554
    0.0832    81.2746    28.3151
    0.1205   125.6568    42.0736
    0.2084   145.8984    48.3485
    0.2138   313.2214   100.2186
    0.1768   531.9628   168.0285
    0.1918   476.4641   150.8239
    0.1605    61.8357    22.2891
    0.0000     0.0000     3.1200
    0.1713   398.5988   126.6856
    0.0982    55.1795    20.2256
    0.0413    31.1022    12.7617
    0.0804    50.1325    18.6611
    0.0964   170.1281    55.8597
    0.1449   154.9001    51.1390
    0.1731   425.6560   135.0733
    0.1713   369.5194   117.6710
    0.2297   550.3600   173.7316
    0.0000     0.0000     3.1200
    0.1674   589.5767   185.8888
    0.1691   547.1514   172.7369
    0.0996   103.8485    35.3130
    0.0287    13.6213     7.3426
    0.0295    41.1198    15.8671
    0.1342   168.1149    55.2356
    0.2189   402.7710   127.9790
    0.2162   736.5726   231.4575
    0.2269   303.6000    97.2360
    0.0000     0.0000     3.1200
    0.1871   759.0524   238.4263
    0.2292   770.4874   241.9711
