                                              Y1              Y1              Y1              Y1              Y1              Y1
                                           PRO-1          PRO-11          PRO-12          PRO-15           PRO-4           PRO-5
            TIME            DATE   Gas Oil Ratio   Gas Oil Ratio   Gas Oil Ratio   Gas Oil Ratio   Gas Oil Ratio   Gas Oil Ratio
                                              SC              SC              SC              SC              SC              SC
           (day)                         (m3/m3)         (m3/m3)         (m3/m3)         (m3/m3)         (m3/m3)         (m3/m3)
       1.0100000      1967-01-02     74.01181030     74.00000000     74.00000000     74.00000000     74.00000000     74.00000000
       31.000000      1967-02-01     73.58280945     73.56449127     73.72803497     73.96977234     73.89974213     73.84746552
       59.000000      1967-03-01     73.30452728     73.28780365     73.46251678     73.73217773     73.68441772     73.59171295
       90.000000      1967-04-01     73.10376740     73.10494232     73.28030396     73.52494049     73.48853302     73.41122437
       91.000000      1967-04-02     72.87562561     72.85124969     73.07468414     73.37124634     73.28812408     73.24281311
       120.00000      1967-05-01     72.29512787     72.09748840     72.45440674     72.90301514     72.88526154     72.71408081
       151.00000      1967-06-01     71.78171539     71.55340576     71.94692993     72.35391235     72.37744141     72.21260071
       181.00000      1967-07-01     71.53789520     71.30702209     71.70637512     72.07524872     72.10829163     71.98237610
       182.00000      1967-07-02     71.64875031     71.46375275     71.81749725     72.12124634     72.23374939     72.06375122
       212.00000      1967-08-01     71.92263031     71.94296265     72.15953827     72.23796082     72.33108521     72.32270813
       243.00000      1967-09-01     71.89758301     71.95604706     72.15564728     72.16830444     72.23330688     72.33887482
       273.00000      1967-10-01     71.82624817     71.90016937     72.10324860     72.09258270     72.15274811     72.30291748
       274.00000      1967-10-02     71.93499756     72.01999664     72.20500183     72.16000366     72.25499725     72.37999725
       304.00000      1967-11-01     72.13249969     72.32583618     72.44200134     72.29733276     72.39083862     72.58233643
       334.00000      1967-12-01     72.19216919     72.39916229     72.51200104     72.34799957     72.41899872     72.66183472
       365.00000      1968-01-01     72.21322632     72.42096710     72.53871155     72.37564087     72.42871094     72.69532013
       366.00000      1968-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       731.00000      1969-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1096.0000      1970-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1461.0000      1971-01-01      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1462.0000      1971-01-02     73.59333038     73.75833130     73.85500336     73.93499756     73.65499878     73.95500183
       1642.0000      1971-07-01     71.98294067     71.77687836     72.16686249     72.48521423     72.36925507     72.41124725
       1826.0000      1972-01-01     83.76264191     70.45476532     70.93125153     71.02809906     72.88172150     71.22095490
       1827.0000      1972-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1840.0000      1972-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       1841.0000      1972-01-16     95.91333008     71.00333405     71.30666351     70.98666382     76.46666718     71.41666412
       2008.0000      1972-07-01    129.26251221     69.60482788     70.15145874     70.06253052    100.84175873     70.49223328
       2192.0000      1973-01-01    137.93931580     68.72829437     69.37442017     69.14706421    112.30518341     69.75318909
       2193.0000      1973-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2206.0000      1973-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2207.0000      1973-01-16    110.48000336     69.54666901     69.98000336     69.37333679     90.74666595     70.16000366
       2373.0000      1973-07-01    131.37289429     68.30903625     68.95048523     68.63309479     97.27634430     69.35064697
       2557.0000      1974-01-01    130.87434387     67.70297241     68.40662384     68.01887512     89.63558197     68.82782745
       2558.0000      1974-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2571.0000      1974-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2572.0000      1974-01-16    103.90666962     68.63999939     69.10666656     68.34666443     85.06666565     69.30666351
       2738.0000      1974-07-01    124.68884277     67.37309265     68.16859436     67.70192719     84.36377716     68.59674835
       2922.0000      1975-01-01    126.41796875     66.75844574     67.76224518     67.23902130     80.90245819     68.20210266
       2923.0000      1975-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2936.0000      1975-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       2937.0000      1975-01-16    102.87999725     67.85333252     68.50666809     67.61333466     78.10666656     68.70666504
       3103.0000      1975-07-01    122.51284790     66.35012054     67.58048248     67.00490570     78.61694336     68.02442169
       3287.0000      1976-01-01    126.38463593     65.61014557     67.19963837     66.59500122     78.05818939     67.66007233
       3288.0000      1976-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3301.0000      1976-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3302.0000      1976-01-16    102.98666382     67.01333618     67.95999908     66.94666290     75.69333649     68.18666840
       3469.0000      1976-07-01    123.33429718     65.26515198     67.05110168     66.37548828     76.31919861     67.51241302
       3653.0000      1977-01-01    128.03492737     64.62282562     66.70993042     65.97333527     75.61905670     67.18412781
       3654.0000      1977-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3667.0000      1977-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       3668.0000      1977-01-16    103.57333374     66.22666931     67.46666718     66.27999878     72.62666321     67.70666504
       3834.0000      1977-07-01    126.13944244     64.25092316     66.53076172     65.70185089     75.24120331     67.01550293
       4018.0000      1978-01-01    128.29971313     63.53456497     66.13210297     65.24021149     75.48652649     66.64804077
       4019.0000      1978-01-02      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4032.0000      1978-01-15      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
       4033.0000      1978-01-16    103.30666351     65.38666534     66.90666962     65.51999664     71.22666931     67.16000366
