 contador  inf  truth  sup
           1  0.1083240      0.2708100      0.3000000    
           2  7.3965997E-02  0.1849150      0.2958640    
           3  2.1512000E-02  5.3780001E-02  8.6048000E-02
           4  2.0138666E-02  5.0346669E-02  8.0554672E-02
           5  7.5067997E-02  0.1876700      0.3000000    
           6  0.1131990      0.2829975      0.3000000    
           7  8.9026995E-02  0.2225675      0.3000000    
           8  3.2295998E-02  8.0739997E-02  0.1291840    
           9  6.1756000E-02  0.1543900      0.2470240    
          10  5.9699997E-02  0.1492500      0.2388000    
          11  4.7125999E-02  0.1178150      0.1885040    
          12  9.0515994E-02  0.2262900      0.3000000    
          13  0.1103090      0.2757725      0.3000000    
          14  6.8558000E-02  0.1713950      0.2742320    
          15  0.1018173      0.2545433      0.3000000    
          16  8.9416996E-02  0.2235425      0.3000000    
          17  7.4831992E-02  0.1870800      0.2993280    
          18  3.0583996E-02  7.6459996E-02  0.1223360    
          19  5.4382000E-02  0.1359550      0.2175280    
          20  0.1144060      0.2860150      0.3000000    
          21  7.2381996E-02  0.1809550      0.2895280    
          22  8.1583999E-02  0.2039600      0.3000000    
          23  0.1105540      0.2763850      0.3000000    
          24  9.0851992E-02  0.2271300      0.3000000    
          25  8.1503995E-02  0.2037600      0.3000000    
          26  3.7795998E-02  9.4489999E-02  0.1511840    
          27  2.2585999E-02  5.6465000E-02  9.0344004E-02
          28  9.5600992E-02  0.2390025      0.3000000    
          29  9.8608993E-02  0.2465225      0.3000000    
          30  7.2987996E-02  0.1824700      0.2919520    
          31  8.9132994E-02  0.2228325      0.3000000    
          32  0.1012610      0.2531525      0.3000000    
          33  6.0646996E-02  0.1516175      0.2425880    
          34  7.5292997E-02  0.1882325      0.3000000    
          35  3.6672998E-02  9.1682501E-02  0.1466920    
          36  6.2978998E-02  0.1574475      0.2519160    
          37  0.1029450      0.2573625      0.3000000    
          38  6.5805994E-02  0.1645150      0.2632240    
          39  6.3450992E-02  0.1586275      0.2538040    
          40  0.1116850      0.2792125      0.3000000    
          41  6.4839996E-02  0.1621000      0.2593600    
          42  5.8348998E-02  0.1458725      0.2333960    
          43  9.0159997E-02  0.1377650      9.3840003E-02
          44  0.1568000      0.1560325      0.1632000    
          45  9.0700999E-02  0.2267525      0.3000000    
          46  9.9999998E-03  1.4940000E-02  2.3904001E-02
          47  3.2397997E-02  8.0994993E-02  0.1295920    
          48  6.1180998E-02  0.1529525      0.2447240    
          49  0.1008120      0.2520300      0.3000000    
          50  0.1086570      0.2716425      0.3000000    
          51  5.8772996E-02  0.1469325      0.2350920    
          52  5.3668998E-02  0.1341725      0.2146760    
          53  4.2586997E-02  0.1064675      0.1703480    
          54  7.8507997E-02  0.1962700      0.3000000    
          55  9.9999998E-03  1.4687501E-02  2.3500001E-02
          56  1.7944997E-02  4.4862498E-02  7.1779996E-02
          57  2.6447000E-02  6.6117503E-02  0.1057880    
          58  0.1666000      0.1724800      0.1734000    
          59  0.1030980      0.2577450      0.3000000    
          60  0.1090110      0.2725275      0.3000000    
          61  7.7351995E-02  0.1933800      0.3000000    
          62  3.5532996E-02  8.8832498E-02  0.1421320    
          63  7.5903997E-02  0.1897600      0.3000000    
          64  1.7859999E-02  4.4650000E-02  7.1440004E-02
          65  1.3923999E-02  3.4809999E-02  5.5695999E-02
          66  2.3114998E-02  5.7787500E-02  9.2459999E-02
          67  2.6738999E-02  6.6847503E-02  0.1069560    
          68  5.7037000E-02  0.1425925      0.2281480    
          69  0.1115050      0.2787625      0.3000000    
          70  0.1099410      0.2748525      0.3000000    
          71  7.4590996E-02  0.1864775      0.2983640    
          72  6.0490999E-02  0.1512275      0.2419640    
          73  1.4915999E-02  3.7289999E-02  5.9664000E-02
          74  3.2324996E-02  8.0812499E-02  0.1293000    
          75  3.3145998E-02  8.2865000E-02  0.1325840    
          76  5.8800001E-02  6.5752499E-02  6.1200000E-02
          77  3.0064998E-02  7.5162500E-02  0.1202600    
          78  8.4352992E-02  0.2108825      0.3000000    
          79  0.1184790      0.2961975      0.3000000    
          80  0.2744000      0.2865325      0.2856000    
          81  9.2941992E-02  0.2323550      0.3000000    
          82  2.6537998E-02  6.6344999E-02  0.1061520    
          83  9.9999998E-03  2.4994999E-02  3.9992001E-02
          84  3.9224997E-02  9.8062500E-02  0.1569000    
          85  6.7213997E-02  0.1680350      0.2688560    
          86  1.7191999E-02  4.2980000E-02  6.8768002E-02
          87  5.8800001E-02  6.2934995E-02  6.1200000E-02
          88  4.9418997E-02  0.1235475      0.1976760    
          89  0.1182820      0.2957050      0.3000000    
          90  0.1171010      0.2927525      0.3000000    
          91  8.8977993E-02  0.2224450      0.3000000    
          92  2.2143999E-02  5.5360001E-02  8.8576004E-02
          93  9.9999998E-03  2.2870000E-02  3.6592003E-02
          94  2.2737999E-02  5.6845002E-02  9.0952002E-02
          95  4.6764996E-02  0.1169125      0.1870600    
          96  3.3211999E-02  8.3030000E-02  0.1328480    
          97  1.0533999E-02  2.6334997E-02  4.2135995E-02
          98  3.2070998E-02  8.0177501E-02  0.1282840    
          99  0.1040560      0.2601400      0.3000000    
         100  0.1127600      0.2819000      0.3000000    
         101  4.3001998E-02  0.1075050      0.1720080    
         102  1.7679000E-02  4.4197503E-02  7.0716009E-02
         103  1.2979998E-02  3.2449998E-02  5.1919997E-02
         104  6.3428000E-02  0.1585700      0.2537120    
