      Well:      PRO-4

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01           0.00           0.00       22507.80           0.00           0.00       22405.52
       1.0100000      1967-01-02          74.00   8.44951e-011       22478.69          74.00   7.52994e-011       22378.07
       31.000000      1967-02-01          73.97   1.27750e-009       22383.07          73.98   1.23498e-009       22282.66
       59.000000      1967-03-01          73.78   3.21949e-009       22318.64          73.79   3.16480e-009       22217.43
       90.000000      1967-04-01          73.59   5.67272e-009       22253.98          73.60   5.59486e-009       22152.36
       91.000000      1967-04-02          73.52   6.81028e-009       21187.63          73.53   6.60599e-009       20985.10
       120.00000      1967-05-01          73.12   1.49874e-008       21020.90          73.19   1.32601e-008       20814.59
       151.00000      1967-06-01          72.74   2.55842e-008       20900.74          72.82   2.31913e-008       20688.66
       181.00000      1967-07-01          72.46   3.51954e-008       20799.40          72.45   3.55115e-008       20583.33
       182.00000      1967-07-02          72.51   3.33413e-008       21886.95          72.49   3.39837e-008       21774.64
       212.00000      1967-08-01          72.52   3.30042e-008       21887.79          72.50   3.38900e-008       21773.16
       243.00000      1967-09-01          72.44   3.59605e-008       21863.12          72.42   3.68626e-008       21748.52
       273.00000      1967-10-01          72.37   3.86463e-008       21839.66          72.35   3.95467e-008       21725.17
       274.00000      1967-10-02          72.39   3.76662e-008       22384.47          72.37   3.86720e-008       22322.78
       304.00000      1967-11-01          72.50   3.36795e-008       22421.26          72.48   3.45367e-008       22360.67
       334.00000      1967-12-01          72.53   3.25331e-008       22428.71          72.51   3.33097e-008       22368.58
       365.00000      1968-01-01          72.55   3.19449e-008       22434.00          72.53   3.26745e-008       22374.25
       366.00000      1968-01-02           0.00           0.00       22983.20           0.00           0.00       22977.14
       731.00000      1969-01-01           0.00           0.00       23253.79           0.00           0.00       23248.30
       1096.0000      1970-01-01           0.00           0.00       23358.05           0.00           0.00       23358.04
       1461.0000      1971-01-01           0.00           0.00       23411.69           0.00           0.00       23410.60
       1462.0000      1971-01-02          73.84   2.59451e-009       21821.12          73.85   2.54717e-009       21668.62
       1642.0000      1971-07-01          72.69   2.95526e-008       21241.13          72.74   2.77911e-008       21070.03
       1826.0000      1972-01-01          71.46   8.50054e-008       20845.24          71.43   8.64877e-008       20681.03
       1827.0000      1972-01-02           0.00           0.00       22567.21           0.00           0.00       22534.45
       1840.0000      1972-01-15           0.00           0.00       22630.57           0.00           0.00       22613.81
       1841.0000      1972-01-16          71.39   8.92455e-008       20935.03          71.35   9.11547e-008       20772.46
