      Well:      PRO-4

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01           0.00           0.00       22507.80           0.00           0.00       22507.81
       1.0100000      1967-01-02          74.00   8.44951e-011       22478.69          74.00   7.58517e-011       22480.27
       31.000000      1967-02-01          73.97   1.27750e-009       22383.07          73.98   1.21771e-009       22385.99
       59.000000      1967-03-01          73.78   3.21949e-009       22318.64          73.79   3.10956e-009       22322.05
       90.000000      1967-04-01          73.59   5.67272e-009       22253.98          73.60   5.49808e-009       22258.04
       91.000000      1967-04-02          73.52   6.81028e-009       21187.63          73.54   6.50257e-009       21194.68
       120.00000      1967-05-01          73.12   1.49874e-008       21020.90          73.20   1.30398e-008       21028.39
       151.00000      1967-06-01          72.74   2.55842e-008       20900.74          72.83   2.27581e-008       20905.79
       181.00000      1967-07-01          72.46   3.51954e-008       20799.40          72.47   3.48168e-008       20803.22
       182.00000      1967-07-02          72.51   3.33413e-008       21886.95          72.51   3.32823e-008       21887.55
       212.00000      1967-08-01          72.52   3.30042e-008       21887.79          72.52   3.31756e-008       21886.22
       243.00000      1967-09-01          72.44   3.59605e-008       21863.12          72.44   3.61056e-008       21861.88
       273.00000      1967-10-01          72.37   3.86463e-008       21839.66          72.37   3.87525e-008       21838.81
       274.00000      1967-10-02          72.39   3.76662e-008       22384.47          72.39   3.78746e-008       22382.77
       304.00000      1967-11-01          72.50   3.36795e-008       22421.26          72.50   3.38264e-008       22420.04
       334.00000      1967-12-01          72.53   3.25331e-008       22428.71          72.53   3.26546e-008       22427.64
       365.00000      1968-01-01          72.55   3.19449e-008       22434.00          72.55   3.20469e-008       22433.10
       366.00000      1968-01-02           0.00           0.00       22983.20           0.00           0.00       22982.43
       731.00000      1969-01-01           0.00           0.00       23253.79           0.00           0.00       23250.37
       1096.0000      1970-01-01           0.00           0.00       23358.05           0.00           0.00       23359.27
       1461.0000      1971-01-01           0.00           0.00       23411.69           0.00           0.00       23411.34
       1462.0000      1971-01-02          73.84   2.59451e-009       21821.12          73.85   2.52621e-009       21823.68
       1642.0000      1971-07-01          72.69   2.95526e-008       21241.13          72.75   2.72637e-008       21238.99
       1826.0000      1972-01-01          71.46   8.50054e-008       20845.24          71.46   8.48827e-008       20850.89
       1827.0000      1972-01-02           0.00           0.00       22567.21           0.00           0.00       22564.84
       1840.0000      1972-01-15           0.00           0.00       22630.57           0.00           0.00       22624.89
       1841.0000      1972-01-16          71.39   8.92455e-008       20935.03          71.38   8.95622e-008       20939.00
