 cont  permh_truth permh_melhor
           2   857.6321       554.9169    
           2   66.85093       59.46875    
           2   17.47837       14.74921    
           2   8.433396       7.844726    
           2   379.5385       330.6110    
           2   950.6475       626.4850    
           2   536.7234       502.4274    
           2   28.49036       31.34532    
           2   176.8130       166.1265    
           2   18.69508       20.83572    
           2   266.6723       261.3757    
           2   566.2621       494.6677    
           2   718.8179       520.8948    
           2   49.67086       42.72819    
           2   917.4515       590.0073    
           2   538.4592       618.1042    
           2   32.38803       34.91677    
           2   30.56413       24.70749    
           2   327.7441       285.9299    
           2   718.5247       563.9335    
           2   312.6195       362.0803    
           2   651.2474       695.9999    
           2   972.8304       689.7465    
           2   689.0786       559.4690    
           2   257.6105       232.4068    
           2   19.16895       15.92640    
           2   127.6501       119.3343    
           2   603.3354       632.6268    
           2   691.1141       521.9165    
           2   594.6225       711.5949    
           2   923.9598       697.4033    
           2   832.8511       606.9213    
           2   289.1915       334.0373    
           2   84.88863       88.55240    
           2   29.61129       29.77096    
           2   579.1512       576.8787    
           2   709.5354       747.1409    
           2   622.4246       612.6042    
           2   670.9148       714.0075    
           2   857.8682       609.4534    
           2   449.6851       501.1378    
           2   317.5479       313.4891    
           2   21.43033       26.67271    
           2   419.6521       498.5212    
           2   431.8307       377.2361    
           2   9.347226       7.580253    
           2   103.4061       101.2395    
           2   293.1408       234.9121    
           2   701.8274       552.8035    
           2   763.9669       700.1756    
           2   328.7891       276.6917    
           2   35.06097       30.82240    
           2   87.68457       79.39666    
           2   860.2258       629.0788    
           2   5.544690       4.608243    
           2   12.19034       12.64526    
           2   74.83688       78.40398    
           2   244.3695       243.7748    
           2   537.8033       435.8990    
           2   832.7828       710.4720    
           2   386.4730       326.5224    
           2   52.81117       48.47860    
           2   276.9131       278.3139    
           2   8.103838       8.336280    
           2   8.087593       9.223296    
           2   4.578585       4.424672    
           2   48.74430       43.67944    
           2   136.5478       137.7887    
           2   797.6979       581.1061    
           2   935.7007       633.6093    
           2   280.2074       281.9438    
           2   238.4034       189.1059    
           2   3.685563       3.738470    
           2   17.30029       16.70455    
           2   15.98768       13.99646    
           2   13.04700       13.09868    
           2   27.38800       30.04402    
           2   463.5356       404.3112    
           2   905.3829       625.0199    
           2   771.4704       774.8440    
           2   307.3030       371.5130    
           2   5.965290       5.645565    
           2   4.199368       3.453278    
           2   9.577145       9.667358    
           2   108.6492       95.44588    
           2   12.75794       14.83336    
           2   19.03103       19.02731    
           2   57.33688       44.99730    
           2   970.4343       750.6039    
           2   693.0752       633.8260    
           2   573.2043       490.1605    
           2   39.75566       43.69386    
           2   5.246127       4.906030    
           2   7.471612       8.110804    
           2   187.3838       167.6243    
           2   167.7210       201.8464    
           2   16.46600       19.43710    
           2   70.78585       72.36510    
           2   927.2019       640.6841    
           2   532.0844       617.1844    
           2   47.68419       53.77242    
           2   13.42125       12.72201    
           2   9.165991       8.591073    
           2   318.0302       272.6004    
           2   35.46164       34.67542    
           2   41.95370       47.27335    
           2   21.80607       17.98703    
           2   51.86268       44.12281    
