"contador","inf","truth","sup"
1,343.0528,857.6321,1000
2,26.74037,66.85093,106.9615
3,6.991348,17.47837,27.96539
4,3.373358,8.433396,13.49343
5,151.8154,379.5385,607.2617
6,380.259,950.6475,1000
7,214.6893,536.7234,858.7574
8,11.39614,28.49036,45.58458
9,70.7252,176.813,282.9008
10,7.478032,18.69508,29.91213
11,106.6689,266.6723,426.6757
12,226.5048,566.2621,906.0193
13,287.5271,718.8179,1000
14,19.86834,49.67086,79.47338
15,366.9806,917.4515,1000
16,215.3837,538.4592,861.5348
17,12.95521,32.38803,51.82085
18,12.22565,30.56413,48.90261
19,131.0976,327.7441,524.3906
20,287.4099,718.5247,1000
21,125.0478,312.6195,500.1912
22,260.4989,651.2474,1000
23,389.1321,972.8304,1000
24,275.6314,689.0786,1000
25,103.0442,257.6105,412.1768
26,7.667579,19.16895,30.67032
27,51.06004,127.6501,204.2402
28,241.3341,603.3354,965.3366
29,276.4456,691.1141,1000
30,237.849,594.6225,951.396
31,369.5839,923.9598,1000
32,333.1404,832.8511,1000
33,115.6766,289.1915,462.7064
34,33.95545,84.88863,135.8218
35,11.84451,29.61129,47.37806
36,231.6605,579.1512,926.6419
37,283.8141,709.5354,1000
38,248.9698,622.4246,995.8794
39,268.3659,670.9148,1000
40,343.1473,857.8682,1000
41,179.874,449.6851,719.4962
42,127.0192,317.5479,508.0767
43,29.0178,21.43033,30.2022
44,567.616,419.6521,590.784
45,172.7323,431.8307,690.9291
46,3.73889,9.347226,14.95556
47,41.36244,103.4061,165.4498
48,117.2563,293.1408,469.0253
49,280.7309,701.8274,1000
50,305.5868,763.9669,1000
51,131.5156,328.7891,526.0626
52,14.02439,35.06097,56.09755
53,35.07383,87.68457,140.2953
54,344.0903,860.2258,1000
55,2.217876,5.54469,8.871505
56,4.876136,12.19034,19.50455
57,29.93475,74.83688,119.739
58,239.512,244.3695,249.288
59,215.1213,537.8033,860.4853
60,333.1131,832.7828,1000
61,154.5892,386.473,618.3568
62,21.12447,52.81117,84.49787
63,110.7652,276.9131,443.0609
64,3.241535,8.103838,12.96614
65,3.235037,8.087593,12.94015
66,1.831434,4.578585,7.325737
67,19.49772,48.7443,77.99088
68,54.61912,136.5478,218.4765
69,319.0791,797.6979,1000
70,374.2802,935.7007,1000
71,112.083,280.2074,448.3318
72,95.36135,238.4034,381.4454
73,1.474225,3.685563,5.896901
74,6.920115,17.30029,27.68046
75,6.395072,15.98768,25.58029
76,12.7792,13.047,13.3008
77,10.9552,27.388,43.8208
78,185.4142,463.5356,741.657
79,362.1531,905.3829,1000
80,756.07,771.4704,786.93
81,122.9212,307.303,491.6848
82,2.386116,5.96529,9.544464
83,1.679747,4.199368,6.718989
84,3.830858,9.577145,15.32343
85,43.45968,108.6492,173.8387
86,5.103176,12.75794,20.4127
87,18.6494,19.03103,19.4106
88,22.93475,57.33688,91.73901
89,388.1737,970.4343,1000
90,277.2301,693.0752,1000
91,229.2817,573.2043,917.1269
92,15.90226,39.75566,63.60906
93,2.098451,5.246127,8.393804
94,2.988645,7.471612,11.95458
95,74.95351,187.3838,299.8141
96,67.08839,167.721,268.3536
97,6.5864,16.466,26.3456
98,28.31434,70.78585,113.2574
99,370.8807,927.2019,1000
100,212.8338,532.0844,851.3351
101,19.07368,47.68419,76.2947
102,5.3685,13.42125,21.474
103,3.666396,9.165991,14.66559
104,127.2121,318.0302,508.8484
105,14.18466,35.46164,56.73862
106,16.78148,41.9537,67.12592
107,8.722427,21.80607,34.88971
108,20.74507,51.86268,82.98029
109,28.27987,70.69968,113.1195
110,44.67416,111.6854,178.6966
111,29.16456,72.91141,116.6583
112,12.36355,30.90887,49.45419
