 cont  permz_truth permz_melhor
           3   360.1842       175.1443    
           3   22.36441       21.55531    
           3   15.74272       7.692255    
           3   30.45175       5.551865    
           3   173.1198       105.6094    
           3   438.5840       197.3304    
           3   187.1295       158.8725    
           3   12.88326       12.83705    
           3   77.27705       54.61921    
           3   7.276920       9.579073    
           3   39.16131       84.14647    
           3   313.5708       156.4670    
           3   352.9129       164.5974    
           3   10.56873       16.36574    
           3   296.7455       186.0222    
           3   110.7765       194.7323    
           3   8.293063       13.94420    
           3   7.099107       10.77932    
           3   135.0633       91.75826    
           3   400.6880       177.9394    
           3   185.7166       115.3649    
           3   390.4137       218.8800    
           3   483.3419       216.9414    
           3   130.6818       176.5554    
           3   79.21922       75.16611    
           3   9.193241       8.057185    
           3   21.31848       40.11364    
           3   339.5010       199.2343    
           3   305.5621       164.9141    
           3   325.2387       223.7144    
           3   454.5229       219.3150    
           3   334.0701       191.2656    
           3   46.36283       106.6716    
           3   9.613131       30.57124    
           3   14.20003       12.34900    
           3   172.5810       181.9524    
           3   347.2773       234.7337    
           3   278.9471       193.0273    
           3   302.8916       224.4623    
           3   479.5731       192.0506    
           3   180.6752       158.4727    
           3   45.65764       100.3016    
           3   12.76345       11.38854    
           3   153.8080       157.6616    
           3   262.3434       120.0632    
           3   4.031803       5.469878    
           3   97.30209       34.50425    
           3   276.7398       75.94276    
           3   404.1055       174.4891    
           3   390.9286       220.1744    
           3   167.7290       88.89443    
           3   32.31448       12.67494    
           3   52.10405       27.73297    
           3   289.8451       198.1344    
           3   3.122280       4.548555    
           3   5.773847       7.040030    
           3   67.65940       27.42524    
           3   149.1642       78.69019    
           3   328.1666       138.2487    
           3   378.3243       223.3663    
           3   212.6767       104.3419    
           3   30.58726       18.14837    
           3   255.7419       89.39730    
           3   4.355590       5.704247    
           3   6.134570       5.979222    
           3   12.87017       4.491648    
           3   71.41113       16.66063    
           3   171.3158       45.83448    
           3   325.4574       183.2629    
           3   419.8289       199.5389    
           3   286.4972       90.52257    
           3   227.1699       61.74282    
           3   1.230580       4.278926    
           3   3.775440       8.298409    
           3   10.44729       7.458902    
           3   37.79175       7.180590    
           3   16.14298       12.43365    
           3   108.2503       128.4565    
           3   433.8315       196.8762    
           3   407.6166       243.3216    
           3   83.65634       118.2890    
           3   15.68217       4.870125    
           3   1.634890       4.190516    
           3   1.726190       6.116881    
           3   21.87785       32.70823    
           3   17.01698       7.718343    
           3   12.84952       9.018465    
           3   23.57455       17.06916    
           3   203.1654       235.8072    
           3   364.2015       199.6061    
           3   265.1586       155.0698    
           3   16.99143       16.66510    
           3   11.05943       4.640869    
           3   1.098148       5.634349    
           3   34.42553       55.08353    
           3   19.23987       65.69239    
           3   14.98890       9.145501    
           3   7.849558       25.55318    
           3   164.4798       201.7321    
           3   457.2466       194.4472    
           3   8.450115       19.78945    
           3   1.754037       7.063822    
           3   8.481297       5.783233    
           3   98.81458       87.62614    
           3   48.49475       13.86938    
           3   1.562635       17.77474    
           3   6.880450       8.695980    
           3   16.68355       16.79807    
           3   21.96833       26.27687    
           3   33.05664       37.77946    
           3   24.11608       29.07021    
           3   7.133242       11.49517    
           3   14.63737       7.617387    
           3   4.572745       9.655458    
           3   43.98189       50.33837    
           3   48.63988       70.45521    
           3   39.51224       37.67150    
           3   22.70132       34.66646    
           3   4.199310       7.961682    
           3  0.9411650       5.111037    
           3   40.57688       49.80331    
           3   42.47871       61.81345    
           3   37.00131       58.73775    
           3   47.78678       59.25788    
           3   23.62157       29.82184    
           3   3.685825       9.304771    
           3   1.987237       4.109273    
           3   32.04026       19.40368    
           3   21.74426       39.97234    
           3   25.29624       33.86649    
           3   17.74737       34.60470    
           3   14.69666       15.89428    
           3   6.368560       22.02820    
           3   1.014717       8.819920    
           3  0.7769975       4.242043    
           3   8.363675       7.725165    
           3   3.603858       11.44995    
           3   3.536395       6.617764    
           3   14.54198       13.38677    
           3   27.68606       14.32368    
           3   20.94704       24.97464    
           3   3.479432       10.70121    
           3  0.9766100       4.267199    
           3   2.189345       7.410995    
           3  0.5316500       4.183423    
           3   2.110625       5.620352    
           3   1.943225       4.997425    
           3   3.106110       6.402828    
           3   20.82282       28.38520    
           3   17.96768       10.46539    
           3  0.8991100       6.975734    
           3   1.416100       13.77245    
           3   1.849305       7.477904    
           3  0.5727125       5.220361    
           3  0.9815750       5.400161    
           3   5.549275       8.315612    
           3  0.4580600       3.398950    
           3   2.407600       7.752679    
           3   5.482147       10.89450    
           3   3.173410       7.240223    
           3   2.237148       8.605359    
           3   10.25225       7.662036    
           3   4.674980       11.05566    
           3   4.088275       8.039398    
           3   2.385022       7.364524    
           3   3.527925       5.311906    
           3   1.698950       6.475324    
           3  0.4140175       5.072881    
           3   2.593415       5.747322    
           3   1.175710       4.837938    
