"truthx","inf","truth","sup"
0.27081,0.108324,0.27081,0.3
0.184915,0.073965997,0.184915,0.295864
0.053780001,0.021512,0.053780001,0.086048
0.050346669,0.020138666,0.050346669,0.080554672
0.18767,0.075067997,0.18767,0.3
0.2829975,0.113199,0.2829975,0.3
0.2225675,0.089026995,0.2225675,0.3
0.080739997,0.032295998,0.080739997,0.129184
0.15439,0.061756,0.15439,0.247024
0.14925,0.059699997,0.14925,0.2388
0.117815,0.047125999,0.117815,0.188504
0.22629,0.090515994,0.22629,0.3
0.2757725,0.110309,0.2757725,0.3
0.171395,0.068558,0.171395,0.274232
0.2545433,0.1018173,0.2545433,0.3
0.2235425,0.089416996,0.2235425,0.3
0.18708,0.074831992,0.18708,0.299328
0.076459996,0.030583996,0.076459996,0.122336
0.135955,0.054382,0.135955,0.217528
0.286015,0.114406,0.286015,0.3
0.180955,0.072381996,0.180955,0.289528
0.20396,0.081583999,0.20396,0.3
0.276385,0.110554,0.276385,0.3
0.22713,0.090851992,0.22713,0.3
0.20376,0.081503995,0.20376,0.3
0.094489999,0.037795998,0.094489999,0.151184
0.056465,0.022585999,0.056465,0.090344004
0.2390025,0.095600992,0.2390025,0.3
0.2465225,0.098608993,0.2465225,0.3
0.18247,0.072987996,0.18247,0.291952
0.2228325,0.089132994,0.2228325,0.3
0.2531525,0.101261,0.2531525,0.3
0.1516175,0.060646996,0.1516175,0.242588
0.1882325,0.075292997,0.1882325,0.3
0.091682501,0.036672998,0.091682501,0.146692
0.1574475,0.062978998,0.1574475,0.251916
0.2573625,0.102945,0.2573625,0.3
0.164515,0.065805994,0.164515,0.263224
0.1586275,0.063450992,0.1586275,0.253804
0.2792125,0.111685,0.2792125,0.3
0.1621,0.064839996,0.1621,0.25936
0.1458725,0.058348998,0.1458725,0.233396
0.137765,0.090159997,0.137765,0.093840003
0.1560325,0.1568,0.1560325,0.1632
0.2267525,0.090700999,0.2267525,0.3
0.01494,0.0099999998,0.01494,0.023904001
0.080994993,0.032397997,0.080994993,0.129592
0.1529525,0.061180998,0.1529525,0.244724
0.25203,0.100812,0.25203,0.3
0.2716425,0.108657,0.2716425,0.3
0.1469325,0.058772996,0.1469325,0.235092
0.1341725,0.053668998,0.1341725,0.214676
0.1064675,0.042586997,0.1064675,0.170348
0.19627,0.078507997,0.19627,0.3
0.014687501,0.0099999998,0.014687501,0.023500001
0.044862498,0.017944997,0.044862498,0.071779996
0.066117503,0.026447,0.066117503,0.105788
0.17248,0.1666,0.17248,0.1734
0.257745,0.103098,0.257745,0.3
0.2725275,0.109011,0.2725275,0.3
0.19338,0.077351995,0.19338,0.3
0.088832498,0.035532996,0.088832498,0.142132
0.18976,0.075903997,0.18976,0.3
0.04465,0.017859999,0.04465,0.071440004
0.034809999,0.013923999,0.034809999,0.055695999
0.0577875,0.023114998,0.0577875,0.092459999
0.066847503,0.026738999,0.066847503,0.106956
0.1425925,0.057037,0.1425925,0.228148
0.2787625,0.111505,0.2787625,0.3
0.2748525,0.109941,0.2748525,0.3
0.1864775,0.074590996,0.1864775,0.298364
0.1512275,0.060490999,0.1512275,0.241964
0.037289999,0.014915999,0.037289999,0.059664
0.080812499,0.032324996,0.080812499,0.1293
0.082865,0.033145998,0.082865,0.132584
0.065752499,0.058800001,0.065752499,0.0612
0.0751625,0.030064998,0.0751625,0.12026
0.2108825,0.084352992,0.2108825,0.3
0.2961975,0.118479,0.2961975,0.3
0.2865325,0.2744,0.2865325,0.2856
0.232355,0.092941992,0.232355,0.3
0.066344999,0.026537998,0.066344999,0.106152
0.024994999,0.0099999998,0.024994999,0.039992001
0.0980625,0.039224997,0.0980625,0.1569
0.168035,0.067213997,0.168035,0.268856
0.04298,0.017191999,0.04298,0.068768002
0.062934995,0.058800001,0.062934995,0.0612
0.1235475,0.049418997,0.1235475,0.197676
0.295705,0.118282,0.295705,0.3
0.2927525,0.117101,0.2927525,0.3
0.222445,0.088977993,0.222445,0.3
0.055360001,0.022143999,0.055360001,0.088576004
0.02287,0.0099999998,0.02287,0.036592003
0.056845002,0.022737999,0.056845002,0.090952002
0.1169125,0.046764996,0.1169125,0.18706
0.08303,0.033211999,0.08303,0.132848
0.026334997,0.010533999,0.026334997,0.042135995
0.080177501,0.032070998,0.080177501,0.128284
0.26014,0.104056,0.26014,0.3
0.2819,0.11276,0.2819,0.3
0.107505,0.043001998,0.107505,0.172008
0.044197503,0.017679,0.044197503,0.070716009
0.032449998,0.012979998,0.032449998,0.051919997
0.15857,0.063428,0.15857,0.253712
0.066152506,0.026461001,0.066152506,0.105844
0.040964998,0.016385999,0.040964998,0.065544002
0.083266668,0.033306666,0.083266668,0.1332267
0.081702501,0.032680999,0.081702501,0.130724
0.084006667,0.033602666,0.084006667,0.1344107
0.1216967,0.048678678,0.1216967,0.1947147
0.1069925,0.042796995,0.1069925,0.171188
0.082542501,0.033016998,0.082542501,0.132068
0.053635001,0.021453999,0.053635001,0.085816003
0.032145001,0.012858,0.032145001,0.051432002
0.1070467,0.042818677,0.1070467,0.1712747
0.1447025,0.057880994,0.1447025,0.231524
0.14392,0.057567999,0.14392,0.230272
0.129915,0.051965997,0.129915,0.207864
0.069124997,0.027649997,0.069124997,0.1106
0.029479999,0.011791999,0.029479999,0.047167998
0.1231333,0.049253318,0.1231333,0.1970133
0.1308675,0.052346997,0.1308675,0.209388
0.13921,0.055683997,0.13921,0.222736
0.1399275,0.055971,0.1399275,0.223884
0.1308075,0.052322999,0.1308075,0.209292
0.064667501,0.025866998,0.064667501,0.103468
0.033217501,0.013286999,0.033217501,0.053148001
0.095100001,0.038039997,0.095100001,0.15216
0.1039325,0.041572999,0.1039325,0.166292
0.10574,0.042296,0.10574,0.169184
0.077747501,0.031098999,0.077747501,0.124396
0.065167502,0.026067,0.065167502,0.104268
0.097229995,0.038891997,0.097229995,0.155568
0.072195001,0.028877998,0.072195001,0.115512
0.033994999,0.013597999,0.033994999,0.054391999
0.075674996,0.030269997,0.075674996,0.12108
0.03602,0.014407999,0.03602,0.057631999
0.038912501,0.015565,0.038912501,0.062260002
0.063730001,0.025491999,0.063730001,0.101968
0.082497492,0.032998994,0.082497492,0.131996
0.099979997,0.039991997,0.099979997,0.159968
0.100655,0.040261995,0.100655,0.161048
0.035680003,0.014272001,0.035680003,0.057088006
0.046647497,0.018658997,0.046647497,0.074635997
0.025369998,0.010147999,0.025369998,0.040591996
0.031489998,0.012595998,0.031489998,0.050383996
0.027857499,0.011142999,0.027857499,0.044571999
0.048667498,0.019466998,0.048667498,0.077868
0.089907497,0.097999997,0.089907497,0.102
0.070677504,0.097999997,0.070677504,0.102
0.06002,0.024007998,0.06002,0.096032001
0.06033333,0.02413333,0.06033333,0.096533328
0.073254995,0.029301995,0.073254995,0.117208
0.0207,0.0099999998,0.0207,0.033120003
0.028757501,0.011503,0.028757501,0.046012003
0.034600001,0.013839999,0.034600001,0.055360001
0.018345,0.0099999998,0.018345,0.029352
0.03847,0.015387999,0.03847,0.061551999
0.066042505,0.026417,0.066042505,0.105668
0.084252499,0.033700999,0.084252499,0.134804
0.053707503,0.021483,0.053707503,0.085932009
0.040435001,0.016174,0.040435001,0.064696006
0.065805003,0.026322,0.065805003,0.105288
0.053967502,0.048999999,0.053967502,0.050999999
0.062634997,0.025053997,0.062634997,0.100216
0.034965001,0.013986,0.034965001,0.055944003
0.046425,0.018569998,0.046425,0.074280001
0.033247501,0.013299,0.033247501,0.053196002
0.048099998,0.019239997,0.048099998,0.076959997
0.028577499,0.011430999,0.028577499,0.045724001
0.037814997,0.015125998,0.037814997,0.060503997
0.069075003,0.027629999,0.069075003,0.11052
0.055717498,0.022286998,0.055717498,0.089148
0.0281075,0.011242999,0.0281075,0.044971999
0.037390001,0.014955999,0.037390001,0.059824001
0.085565001,0.034225997,0.085565001,0.136904
0.07254,0.029015997,0.07254,0.116064
0.085155003,0.034061998,0.085155003,0.136248
0.0724025,0.028960997,0.0724025,0.115844
0.049002498,0.019600999,0.049002498,0.078404002
0.094825,0.037929997,0.094825,0.15172
0.097722501,0.088200003,0.097722501,0.091799997
0.033934999,0.013573999,0.033934999,0.054295998
0.048272502,0.019308999,0.048272502,0.077236004
0.10453,0.041811999,0.10453,0.167248
0.092610002,0.088200003,0.092610002,0.091799997
0.096780002,0.038711999,0.096780002,0.154848
0.070085004,0.028034,0.070085004,0.112136
0.073689997,0.029475996,0.073689997,0.117904
0.091329999,0.036531996,0.091329999,0.146128
0.12424,0.049695998,0.12424,0.198784
0.093630001,0.037451997,0.093630001,0.149808
0.074090004,0.068599999,0.074090004,0.071400002
0.0536125,0.021444999,0.0536125,0.085780002
0.068185002,0.027274,0.068185002,0.109096
0.080422498,0.032168996,0.080422498,0.128676
0.052540001,0.021016,0.052540001,0.084063999
0.09544,0.038175996,0.09544,0.152704
0.044095002,0.017638,0.044095002,0.070552006
0.039609998,0.015843999,0.039609998,0.063376002
0.080669999,0.032267999,0.080669999,0.129072
0.086845003,0.034738,0.086845003,0.138952
0.059232503,0.023692999,0.059232503,0.094772004
0.1079425,0.043176997,0.1079425,0.172708
0.096747503,0.038698997,0.096747503,0.154796
0.089780003,0.035912,0.089780003,0.143648
0.038465001,0.015385999,0.038465001,0.061544001
0.079909995,0.031963997,0.079909995,0.127856
0.1338025,0.053521,0.1338025,0.214084
0.097010002,0.038803998,0.097010002,0.155216
0.084035002,0.033613998,0.084035002,0.134456
0.13104,0.052416001,0.13104,0.209664
0.290665,0.116266,0.290665,0.3
0.294245,0.117698,0.294245,0.3
0.29213,0.116852,0.29213,0.3
0.11829,0.047315996,0.11829,0.189264
0.215545,0.086217992,0.215545,0.3
0.271745,0.108698,0.271745,0.3
0.290605,0.116242,0.290605,0.3
0.295085,0.118034,0.295085,0.3
0.18153,0.072611995,0.18153,0.290448
0.15386,0.061543997,0.15386,0.246176
0.119195,0.047677997,0.119195,0.190712
0.1496025,0.059840996,0.1496025,0.239364
0.2655525,0.106221,0.2655525,0.3
0.28793,0.115172,0.28793,0.3
0.25406,0.101624,0.25406,0.3
0.23851,0.095403992,0.23851,0.3
0.16989,0.067955993,0.16989,0.271824
0.098572493,0.039428994,0.098572493,0.157716
0.091947496,0.036778998,0.091947496,0.147116
0.1716525,0.068660997,0.1716525,0.274644
0.26887,0.107548,0.26887,0.3
0.14282,0.057127997,0.14282,0.228512
0.2191975,0.087678991,0.2191975,0.3
0.2256,0.090239994,0.2256,0.3
0.1779675,0.071186997,0.1779675,0.284748
0.093449995,0.037379995,0.093449995,0.14952
0.13332,0.053328,0.13332,0.213312
0.2113475,0.084538996,0.2113475,0.3
0.12155,0.048619997,0.12155,0.19448
0.088387504,0.035354998,0.088387504,0.14142
0.1263425,0.050536998,0.1263425,0.202148
0.179955,0.071981996,0.179955,0.287928
0.2038575,0.081542991,0.2038575,0.3
0.2317125,0.091140002,0.2317125,0.094860002
0.1360075,0.1274,0.1360075,0.1326
0.2008225,0.080328993,0.2008225,0.3
0.064254999,0.025701998,0.064254999,0.102808
0.090580001,0.036231998,0.090580001,0.144928
0.1415675,0.056626994,0.1415675,0.226508
0.1905325,0.076212995,0.1905325,0.3
0.2306875,0.092274994,0.2306875,0.3
0.2052175,0.082086995,0.2052175,0.3
0.2479925,0.099196993,0.2479925,0.3
0.167575,0.067029998,0.167575,0.26812
0.141865,0.056745995,0.141865,0.226984
0.094537504,0.037815001,0.094537504,0.15126
0.039910004,0.015964,0.039910004,0.063856006
0.07705,0.078400001,0.07705,0.081600003
0.1127325,0.045092996,0.1127325,0.180372
0.150225,0.060089994,0.150225,0.24036
0.2467975,0.098718993,0.2467975,0.3
0.2626175,0.105047,0.2626175,0.3
0.22636,0.090543993,0.22636,0.3
0.25235,0.10094,0.25235,0.3
0.1497575,0.059903,0.1497575,0.239612
0.094485,0.037793998,0.094485,0.151176
0.03076,0.012303999,0.03076,0.049215999
0.033115,0.013245999,0.033115,0.052983999
0.1289125,0.051564995,0.1289125,0.20626
0.1976,0.079039998,0.1976,0.3
0.20459,0.081835993,0.20459,0.3
0.2346175,0.093846992,0.2346175,0.3
0.268985,0.107594,0.268985,0.3
0.2519275,0.100771,0.2519275,0.3
0.14382,0.057527997,0.14382,0.230112
0.121495,0.1176,0.121495,0.1224
0.0668175,0.026726998,0.0668175,0.106908
0.044235002,0.017694,0.044235002,0.070776008
0.126795,0.050717995,0.126795,0.202872
