 cont  poro_truth	 poro_melhor
           1  0.2708100      0.2148231    
           1  0.1849150      0.2115704    
           1  5.3780001E-02  5.4119546E-02
           1  5.0346669E-02  5.5446547E-02
           1  0.1876700      0.1962854    
           1  0.2829975      0.2143871    
           1  0.2225675      0.1933764    
           1  8.0739997E-02  9.4506823E-02
           1  0.1543900      0.1762487    
           1  0.1492500      0.1534550    
           1  0.1178150      0.1072817    
           1  0.2262900      0.1783360    
           1  0.2757725      0.1998868    
           1  0.1713950      0.1538037    
           1  0.2545433      0.1789732    
           1  0.2235425      0.1890444    
           1  0.1870800      0.2133649    
           1  7.6459996E-02  8.9834705E-02
           1  0.1359550      0.1611602    
           1  0.2860150      0.2315356    
           1  0.1809550      0.1625747    
           1  0.2039600      0.1595215    
           1  0.2763850      0.2129608    
           1  0.2271300      0.1848987    
           1  0.2037600      0.1937095    
           1  9.4489999E-02  0.1073337    
           1  5.6465000E-02  5.2408755E-02
           1  0.2390025      0.1953111    
           1  0.2465225      0.1801090    
           1  0.1824700      0.2108274    
           1  0.2228325      0.1656914    
           1  0.2531525      0.1665458    
           1  0.1516175      0.1742329    
           1  0.1882325      0.1659312    
           1  9.1682501E-02  9.1903381E-02
           1  0.1574475      0.1589569    
           1  0.2573625      0.1819838    
           1  0.1645150      0.1386244    
           1  0.1586275      0.1887750    
           1  0.2792125      0.1873725    
           1  0.1621000      0.1831270    
           1  0.1458725      0.1155629    
           1  0.1377650      0.1669272    
           1  0.1560325      0.1736494    
           1  0.2267525      0.2082097    
           1  1.4940000E-02  1.7156919E-02
           1  8.0994993E-02  7.3004566E-02
           1  0.1529525      0.1726241    
           1  0.2520300      0.2143133    
           1  0.2716425      0.2015605    
           1  0.1469325      0.1198316    
           1  0.1341725      0.1287165    
           1  0.1064675      0.1036708    
           1  0.1962700      0.1643317    
           1  1.4687501E-02  1.7677628E-02
           1  4.4862498E-02  5.3801551E-02
           1  6.6117503E-02  5.7610273E-02
           1  0.1724800      0.1704379    
           1  0.2577450      0.2191410    
           1  0.2725275      0.2369519    
           1  0.1933800      0.1562776    
           1  8.8832498E-02  7.8571692E-02
           1  0.1897600      0.2084963    
           1  4.4650000E-02  4.5901824E-02
           1  3.4809999E-02  3.8331047E-02
           1  5.7787500E-02  4.6356939E-02
           1  6.6847503E-02  7.7503189E-02
           1  0.1425925      0.1508280    
           1  0.2787625      0.2062742    
           1  0.2748525      0.2225319    
           1  0.1864775      0.2177506    
           1  0.1512275      0.1721673    
           1  3.7289999E-02  4.1209962E-02
           1  8.0812499E-02  9.7898930E-02
           1  8.2865000E-02  9.8922975E-02
           1  6.5752499E-02  5.9674934E-02
           1  7.5162500E-02  8.0017395E-02
           1  0.2108825      0.1840239    
           1  0.2961975      0.1831378    
           1  0.2865325      0.2796990    
           1  0.2323550      0.1759251    
           1  6.6344999E-02  7.4848935E-02
           1  2.4994999E-02  2.2125578E-02
           1  9.8062500E-02  8.6379245E-02
           1  0.1680350      0.1447486    
           1  4.2980000E-02  4.3927465E-02
           1  6.2934995E-02  5.9909057E-02
           1  0.1235475      0.1297970    
           1  0.2957050      0.2234178    
           1  0.2927525      0.2263808    
           1  0.2224450      0.1758127    
           1  5.5360001E-02  5.8827151E-02
           1  2.2870000E-02  2.2962203E-02
           1  5.6845002E-02  5.1845465E-02
           1  0.1169125      0.1334030    
           1  8.3030000E-02  7.1983516E-02
           1  2.6334997E-02  2.4499578E-02
           1  8.0177501E-02  6.5529093E-02
           1  0.2601400      0.2224333    
           1  0.2819000      0.2051458    
           1  0.1075050      0.1038518    
           1  4.4197503E-02  4.5605477E-02
           1  3.2449998E-02  3.4787640E-02
           1  0.1585700      0.1571744    
           1  6.6152506E-02  7.4499175E-02
           1  4.0964998E-02  4.3665506E-02
           1  8.3266668E-02  6.9988303E-02
           1  8.1702501E-02  9.0739004E-02
           1  8.4006667E-02  7.2200470E-02
           1  0.1216967      0.1468043    
           1  0.1069925      0.1068898    
           1  8.2542501E-02  9.4833955E-02
           1  5.3635001E-02  4.8213821E-02
           1  3.2145001E-02  3.5767056E-02
           1  0.1070467      0.1079344    
           1  0.1447025      0.1688791    
           1  0.1439200      0.1507235    
           1  0.1299150      0.1441952    
           1  6.9124997E-02  6.2137090E-02
           1  2.9479999E-02  3.2550279E-02
           1  0.1231333      0.1424130    
           1  0.1308675      0.1198911    
           1  0.1392100      0.1484834    
           1  0.1399275      0.1560282    
           1  0.1308075      0.1412809    
           1  6.4667501E-02  6.8402015E-02
           1  3.3217501E-02  3.2416567E-02
           1  9.5100001E-02  0.1012379    
           1  0.1039325      0.1156913    
           1  0.1057400      0.1121017    
           1  7.7747501E-02  8.3727688E-02
           1  6.5167502E-02  5.6815129E-02
           1  9.7229995E-02  9.7701401E-02
           1  7.2195001E-02  6.4248271E-02
           1  3.3994999E-02  2.9900562E-02
           1  7.5674996E-02  7.7617206E-02
           1  3.6020000E-02  3.6695033E-02
           1  3.8912501E-02  4.0767271E-02
           1  6.3730001E-02  6.2138025E-02
           1  8.2497492E-02  7.4555747E-02
           1  9.9979997E-02  0.1004152    
           1  0.1006550      9.9575728E-02
           1  3.5680003E-02  3.5742693E-02
           1  4.6647497E-02  5.1352270E-02
           1  2.5369998E-02  2.5664190E-02
           1  3.1489998E-02  3.6263816E-02
           1  2.7857499E-02  2.6096970E-02
           1  4.8667498E-02  5.1950794E-02
           1  8.9907497E-02  8.8048406E-02
           1  7.0677504E-02  8.0585212E-02
           1  6.0020000E-02  5.7693101E-02
           1  6.0333330E-02  6.4698614E-02
           1  7.3254995E-02  7.6223224E-02
           1  2.0700000E-02  2.3983415E-02
           1  2.8757501E-02  3.3052448E-02
           1  3.4600001E-02  3.9980989E-02
           1  1.8345000E-02  1.6991081E-02
           1  3.8470000E-02  4.2402294E-02
           1  6.6042505E-02  7.4224129E-02
           1  8.4252499E-02  9.7535416E-02
           1  5.3707503E-02  4.7853459E-02
           1  4.0435001E-02  4.6968117E-02
           1  6.5805003E-02  7.1921766E-02
           1  5.3967502E-02  5.0118387E-02
           1  6.2634997E-02  6.2022690E-02
           1  3.4965001E-02  2.8428674E-02
           1  4.6425000E-02  4.0740516E-02
           1  3.3247501E-02  3.7710853E-02
           1  4.8099998E-02  4.6885092E-02
           1  2.8577499E-02  3.2132726E-02
           1  3.7814997E-02  3.5306409E-02
           1  6.9075003E-02  8.1153952E-02
           1  5.5717498E-02  4.9326908E-02
           1  2.8107500E-02  2.7236877E-02
           1  3.7390001E-02  3.3468425E-02
           1  8.5565001E-02  7.3475972E-02
           1  7.2540000E-02  6.4763099E-02
           1  8.5155003E-02  8.4155500E-02
           1  7.2402500E-02  8.0488943E-02
           1  4.9002498E-02  4.7459792E-02
           1  9.4825000E-02  9.7958103E-02
           1  9.7722501E-02  8.9967437E-02
           1  3.3934999E-02  3.6190394E-02
           1  4.8272502E-02  4.6797112E-02
           1  0.1045300      0.1223988    
           1  9.2610002E-02  8.9655101E-02
           1  9.6780002E-02  8.7904148E-02
           1  7.0085004E-02  6.5074451E-02
           1  7.3689997E-02  7.6608375E-02
           1  9.1329999E-02  8.7671988E-02
           1  0.1242400      0.1438416    
           1  9.3630001E-02  0.1076377    
           1  7.4090004E-02  6.9683857E-02
           1  5.3612500E-02  4.5298588E-02
           1  6.8185002E-02  7.2813317E-02
           1  8.0422498E-02  6.5661907E-02
           1  5.2540001E-02  4.3033253E-02
           1  9.5440000E-02  9.8257497E-02
           1  4.4095002E-02  4.7309294E-02
           1  3.9609998E-02  4.1076101E-02
           1  8.0669999E-02  8.1267290E-02
           1  8.6845003E-02  9.6747138E-02
           1  5.9232503E-02  5.0429299E-02
           1  0.1079425      0.1043534    
           1  9.6747503E-02  8.5955702E-02
           1  8.9780003E-02  9.5799439E-02
           1  3.8465001E-02  4.1681856E-02
           1  7.9909995E-02  7.4746735E-02
           1  0.1338025      0.1571269    
           1  9.7010002E-02  9.3782470E-02
           1  8.4035002E-02  6.8343408E-02
           1  0.1310400      0.1321704    
           1  0.2906650      0.2191750    
           1  0.2942450      0.2230842    
           1  0.2921300      0.2053799    
           1  0.1182900      0.1036638    
           1  0.2155450      0.1784052    
           1  0.2717450      0.1832848    
           1  0.2906050      0.2273884    
           1  0.2950850      0.1768192    
           1  0.1815300      0.1591804    
           1  0.1538600      0.1753464    
           1  0.1191950      0.1177226    
           1  0.1496025      0.1338317    
           1  0.2655525      0.2266318    
           1  0.2879300      0.2280113    
           1  0.2540600      0.1775911    
           1  0.2385100      0.2212695    
           1  0.1698900      0.2046688    
           1  9.8572493E-02  0.1121765    
           1  9.1947496E-02  7.9500221E-02
           1  0.1716525      0.1951459    
           1  0.2688700      0.1803974    
           1  0.1428200      0.1472490    
           1  0.2191975      0.2024391    
           1  0.2256000      0.1947645    
           1  0.1779675      0.2006538    
           1  9.3449995E-02  9.2635728E-02
           1  0.1333200      0.1297513    
           1  0.2113475      0.2074565    
           1  0.1215500      0.1145232    
           1  8.8387504E-02  7.6347046E-02
           1  0.1263425      0.1081033    
           1  0.1799550      0.1429857    
           1  0.2038575      0.2208299    
           1  0.2317125      0.1757496    
           1  0.1360075      0.1168646    
           1  0.2008225      0.2220962    
           1  6.4254999E-02  5.9049230E-02
           1  9.0580001E-02  8.3156288E-02
           1  0.1415675      0.1205252    
           1  0.1905325      0.2084396    
           1  0.2306875      0.2137972    
           1  0.2052175      0.1767754    
           1  0.2479925      0.1918089    
           1  0.1675750      0.1605380    
           1  0.1418650      0.1713358    
           1  9.4537504E-02  9.8231845E-02
           1  3.9910004E-02  4.1334808E-02
           1  7.7050000E-02  8.0406211E-02
           1  0.1127325      9.6379608E-02
           1  0.1502250      0.1448910    
           1  0.2467975      0.1730610    
           1  0.2626175      0.1713493    
           1  0.2263600      0.2297384    
           1  0.2523500      0.1673876    
           1  0.1497575      0.1691198    
           1  9.4485000E-02  9.9646918E-02
           1  3.0760000E-02  2.8705942E-02
           1  3.3115000E-02  2.9497640E-02
           1  0.1289125      0.1341515    
           1  0.1976000      0.2188626    
           1  0.2045900      0.2161563    
           1  0.2346175      0.2268839    
           1  0.2689850      0.1871132    
           1  0.2519275      0.2292419    
           1  0.1438200      0.1301880    
           1  0.1214950      0.1206274    
           1  6.6817500E-02  5.9503261E-02
           1  4.4235002E-02  4.5495078E-02
           1  0.1267950      0.1481500    
           1  0.1741875      0.1699231    
           1  0.2172350      0.2102201    
           1  0.1973100      0.1557012    
           1  0.2790850      0.2315878    
           1  0.2569875      0.2310160    
           1  0.2119100      0.1901909    
           1  0.1906300      0.1892549    
           1  9.7405002E-02  8.3582908E-02
           1  0.1045500      0.1053185    
           1  0.1143125      0.1292564    
           1  8.8550001E-02  8.0364458E-02
           1  0.1017300      0.1006206    
           1  0.1978450      0.1957269    
           1  0.2903875      0.2113667    
           1  0.2895350      0.2151323    
           1  0.2767525      0.2235443    
           1  0.2210625      0.2072197    
           1  0.1120525      0.1277031    
           1  0.1575500      0.1307067    
           1  0.2660100      0.1886663    
           1  0.2931850      0.2152232    
           1  0.2978150      0.1820934    
           1  0.2871850      0.2388693    
           1  0.1220950      0.1130240    
           1  0.1236200      0.1428528    
           1  8.3200000E-02  9.3613736E-02
           1  0.1423200      0.1358179    
           1  0.1655625      0.1711478    
           1  0.1602850      0.1452167    
           1  0.1372000      0.1449946    
           1  0.1294250      0.1430101    
           1  8.6960003E-02  9.5835432E-02
           1  0.1288300      0.1120020    
           1  0.1920400      0.1714439    
           1  0.1940675      0.1763087    
           1  0.1968525      0.2063873    
           1  0.1409200      0.1297518    
           1  1.6000001E-02  1.7378176E-02
           1  5.9352499E-02  5.0783724E-02
