"cont","poro_truth","poro_melhor","melhor-truth(poro)","cont","permh_truth","permh_melhor","melhor-truth(permh)"
1,0.27081,0.2148231,-0.206738672870278,2,857.6321,554.9169,-0.352966266071431
1,0.184915,0.2115704,0.144149474082687,2,66.85093,59.46875,-0.110427483955721
1,0.053780001,0.054119546,0.00631359229613991,2,17.47837,14.74921,-0.156144995214085
1,0.050346669,0.055446547,0.101295241597811,2,8.433396,7.844726,-0.0698022481097769
1,0.18767,0.1962854,0.0459071774924069,2,379.5385,330.611,-0.128913140564133
1,0.2829975,0.2143871,-0.242441717683018,2,950.6475,626.485,-0.340991271738473
1,0.2225675,0.1933764,-0.131156166106911,2,536.7234,502.4274,-0.0638988350424073
1,0.080739997,0.094506823,0.170508131180634,2,28.49036,31.34532,0.100207929980527
1,0.15439,0.1762487,0.141581060949543,2,176.813,166.1265,-0.0604395604395604
1,0.14925,0.153455,0.028174204355109,2,18.69508,20.83572,0.114502853157087
1,0.117815,0.1072817,-0.0894054237575861,2,266.6723,261.3757,-0.0198618304188324
1,0.22629,0.178336,-0.211913915771797,2,566.2621,494.6677,-0.126433324780168
1,0.2757725,0.1998868,-0.275175008385535,2,718.8179,520.8948,-0.275345257818427
1,0.171395,0.1538037,-0.102636016219843,2,49.67086,42.72819,-0.139773501002399
1,0.2545433,0.1789732,-0.296885048634162,2,917.4515,590.0073,-0.356906277879539
1,0.2235425,0.1890444,-0.154324569153517,2,538.4592,618.1042,0.147912785221239
1,0.18708,0.2133649,0.140500855249091,2,32.38803,34.91677,0.0780763757474598
1,0.076459996,0.089834705,0.174924270202682,2,30.56413,24.70749,-0.191618083027392
1,0.135955,0.1611602,0.185393696443676,2,327.7441,285.9299,-0.127581854257636
1,0.286015,0.2315356,-0.190477422512805,2,718.5247,563.9335,-0.215150850068202
1,0.180955,0.1625747,-0.101573871957116,2,312.6195,362.0803,0.15821405894386
1,0.20396,0.1595215,-0.217878505589331,2,651.2474,695.9999,0.0687181246328201
1,0.276385,0.2129608,-0.229477721294571,2,972.8304,689.7465,-0.290989981398608
1,0.22713,0.1848987,-0.185934486857747,2,689.0786,559.469,-0.188091169860739
