      Well:     PRO-12

                                             Y1             Y2             Y3             Y1             Y2             Y3
                                  PUNQS3_funcio  PUNQS3_funcio  PUNQS3_funcio     PUNQS3.irf     PUNQS3.irf     PUNQS3.irf
                                      nando.irf      nando.irf      nando.irf                                             
            TIME            DATE  Gas Oil Ratio   Water Cut SC           Well  Gas Oil Ratio   Water Cut SC           Well
                                             SC                   Bottom-hole             SC                   Bottom-hole
                                                                     Pressure                                     Pressure
           (day)                        (m3/m3)             ()          (kPa)        (m3/m3)             ()          (kPa)
    0.0099999998      1967-01-01          74.00           0.00       22843.40          74.00           0.00       22611.68
       1.0100000      1967-01-02          74.00   6.87375e-010       22760.81          74.00   1.32545e-010       22574.83
       31.000000      1967-02-01          73.73   6.77455e-009       22558.36          73.97   4.44936e-009       22379.54
       59.000000      1967-03-01          73.46   1.16704e-008       22486.64          73.80   8.13926e-009       22313.83
       90.000000      1967-04-01          73.28   1.58804e-008       22425.92          73.64   1.12195e-008       22259.38
       91.000000      1967-04-02          73.07   2.14388e-008       21575.67          73.56   1.29130e-008       21181.15
       120.00000      1967-05-01          72.45   4.38374e-008       21299.82          73.02   2.79745e-008       20960.82
       151.00000      1967-06-01          71.95   6.78617e-008       21174.36          72.68   4.05182e-008       20857.56
       181.00000      1967-07-01          71.71   8.15018e-008       21061.10          72.46   4.99904e-008       20776.20
       182.00000      1967-07-02          71.82   7.50623e-008       21937.56          72.53   4.71208e-008       21880.73
       212.00000      1967-08-01          72.16   5.70998e-008       22057.79          72.78   3.66154e-008       21974.19
       243.00000      1967-09-01          72.16   5.72821e-008       22049.53          72.77   3.69092e-008       21964.72
       273.00000      1967-10-01          72.10   5.98911e-008       22031.89          72.71   3.91952e-008       21944.92
       274.00000      1967-10-02          72.21   5.50342e-008       22466.43          72.75   3.78140e-008       22494.19
       304.00000      1967-11-01          72.44   4.42389e-008       22549.93          72.95   3.04113e-008       22566.29
       334.00000      1967-12-01          72.51   4.12971e-008       22565.79          73.02   2.81429e-008       22580.91
       365.00000      1968-01-01          72.54   4.02098e-008       22574.35          73.03   2.75353e-008       22586.85
       366.00000      1968-01-02           0.00           0.00       23004.41           0.00           0.00       23132.09
       731.00000      1969-01-01           0.00           0.00       23333.13           0.00           0.00       23408.33
       1096.0000      1970-01-01           0.00           0.00       23429.48           0.00           0.00       23490.97
       1461.0000      1971-01-01           0.00           0.00       23481.71           0.00           0.00       23537.25
       1462.0000      1971-01-02          73.86   4.86306e-009       22228.78          74.28   2.46956e-009       21932.75
       1642.0000      1971-07-01          72.17   5.94563e-008       21450.94          72.76   4.04820e-008       21272.40
       1826.0000      1972-01-01          70.93   1.36372e-007       21091.61          71.77   9.82558e-008       20977.63
       1827.0000      1972-01-02           0.00           0.00       22451.77           0.00           0.00       22681.80
       1840.0000      1972-01-15           0.00           0.00       22668.72           0.00           0.00       22848.49
       1841.0000      1972-01-16          71.31   1.08108e-007       21343.08          72.08   8.50266e-008       21175.25
